gene_callers_id	ABBA_M11	ABBA_M12	ABBA_M13	ABBA_M14	ABBA_M15
21318	0.0	0.0	0.0	0.0	0.0
21319	0.0	0.0	0.0	0.0	0.0
21320	0.0	0.0	0.0	0.0	0.0
21321	0.0	0.0	0.0	0.0	0.0
21322	0.0	0.0	0.0	0.0	0.0
21323	0.0	0.0	0.0	0.0	0.0
21324	0.0	0.0	0.0	0.0	0.0
21325	0.0	0.0	0.0	0.0	0.0
21326	0.0	0.0	0.0	0.0	0.0
21327	0.0	0.0	0.0	0.0	0.0
21328	0.0	0.0	0.0	0.0	0.0
21329	0.0	0.0	0.0	0.0	0.0
21330	0.0	0.0	0.0	0.0	0.0
21331	0.0	0.0	0.0	0.0	0.0
21332	0.0	0.0	0.0	0.0	0.0
21333	0.0	0.0	0.0	0.0	0.0
21334	0.0	0.0	0.0	0.0	0.0
21335	0.17416378316032297	0.0	0.5224913494809689	0.34832756632064593	0.0
21336	0.0	0.0	0.0	0.0	0.0
21337	0.0	0.0	0.0	0.0	0.0
21338	0.0	0.0	0.0	0.0	0.0
21339	0.0	0.0	0.0	0.0	0.0
21340	0.0	0.0	0.0	0.0	0.0
21341	0.0	0.0	0.0	0.0	0.0
21342	0.0	0.0	0.0	0.0	0.0
21343	0.0	0.0	0.0	0.0	0.0
21344	0.0	0.0	0.0	0.0	0.0
21345	0.0	0.0	0.0	0.0	0.0
21346	0.0	0.0	0.0	0.0	0.0
21347	0.0	0.0	0.0	0.0	0.0
21348	0.0	0.0	0.0	0.0	0.0
21349	0.0	0.0	0.0	0.0	0.0
21350	0.0	0.0	0.0	0.0	0.0
21351	0.0	0.9476987447698745	0.3158995815899582	4.843793584379358	0.9476987447698745
21352	0.0	0.0	0.0	0.0	0.0
21353	0.0	0.0	0.0	0.0	0.0
21354	0.0	0.0	0.0	0.0	0.0
21355	0.0	0.0	0.0	0.0	0.0
21356	0.0	0.0	0.0	0.0	0.0
21357	0.0	0.0	0.0	0.0	0.0
21358	0.0	0.0	0.0	0.0	0.0
21359	0.0	0.0	0.0	0.0	0.0
21360	0.0	0.0	0.0	0.0	0.0
21361	0.0	0.0	0.0	0.0	0.0
21362	0.26512455516014233	1.5225385527876631	1.6969157769869514	2.683274021352313	1.0747330960854093
21363	10.59356725146199	4.856725146198831	6.62280701754386	9.269005847953217	12.362573099415204
21364	0.0	0.0	0.0	0.0	0.0
21365	0.1674986134220743	0.0	0.3349972268441486	0.581808097615086	0.24958402662229617
21366	0.0	0.0	0.0	0.0	0.0
21367	0.0	0.0	0.0	0.0	0.0
21368	0.0	0.0	0.0	0.0	0.0
21369	0.0	0.0	0.0	0.0	0.15729166666666666
21370	0.0	0.0	0.2132768361581921	0.0	0.0
21371	0.0	0.0	0.0	0.0	0.0
21372	0.0	0.0	0.0	0.0	0.0
21373	0.0	0.0	0.0	0.0	0.0
21374	0.257459505541347	0.9011082693947144	1.1585677749360614	0.7723785166240409	0.514919011082694
21375	0.0	0.0	0.0	0.0	0.0
21376	0.0	0.0	0.0	0.0	0.0
21377	0.0	0.0	0.0	0.0	0.0
21378	0.0	0.0	0.0	0.0	0.0
21379	0.0	0.0	0.0	0.0	0.0
21380	0.0	0.0	0.0	0.0	0.0
21381	0.0	0.0	0.0	0.0	0.0
21382	0.0	0.0	0.0	0.0	0.0
21383	0.0	0.0	0.0	0.0	0.0
21384	0.0	0.0	0.0	0.0	0.0
21385	0.0	0.0	0.0	0.10918293564714389	0.0
21386	0.0	0.0	0.12972508591065293	0.0	0.0
21387	0.0	0.0	0.0	0.0	0.0
21388	0.0	0.0	0.0	0.0	0.0
21389	0.0	0.0	0.0	0.0	0.0
21390	0.0	0.0	0.0	0.0	0.0
21391	0.3849585723390695	1.7323135755258126	1.4435946462715106	1.3473550031867432	1.4435946462715106
21392	0.0	0.0	0.0	0.0	0.0
21393	0.0	0.0	0.0	0.0	0.0
21394	0.16055289739500267	0.4811270600744285	0.8825093035619351	0.961190855927698	0.5619351408825093
21395	0.0	0.0	0.0	0.0	0.0
21396	0.0	0.0	0.22076023391812866	0.0	0.0
21397	0.0	0.0	0.0	0.0	0.0
21398	0.0	0.0	0.0	0.0	0.0
