gene_callers_id	ABBA_M11	ABBA_M12	ABBA_M13	ABBA_M14	ABBA_M15
40082	0.0	0.0	0.0	0.0	0.0
40083	0.0	0.0	0.0	0.0	0.0
40084	0.0	0.0	0.0	0.0	0.0
40085	0.0	0.0	0.0	0.0	0.0
40086	0.0	0.0	0.0	0.0	0.0
40087	0.0	0.0	0.0	0.0	0.0
40088	0.0	0.0	0.0	0.0	0.0
40089	0.0	0.0	0.0	0.0	0.0
40090	0.0	0.0	0.0	0.0	0.0
40091	0.0	0.0	0.0	0.0	0.0
40092	0.0	0.0	0.0	0.0	0.0
40093	0.0	0.0	0.0	0.0	0.0
40094	0.0	0.0	0.0	0.0	0.0
40095	0.0	0.0	0.0	0.0	0.0
40096	0.0	0.0	0.0	0.0	0.0
40097	0.0	0.0	0.0	0.0	0.0
40098	0.0	0.5531135531135531	0.0	0.0	0.0
40099	0.0	0.0	0.0	0.0	0.0
40100	0.0	0.0	0.0	0.0	0.0
40101	0.0	0.0	0.0	0.0	0.0
40102	0.4830917874396135	0.08105206655931294	0.3231347289318304	0.24208266237251744	0.08105206655931294
40103	0.0	0.0	0.0	0.0	0.0
40104	0.0	0.0	0.0	0.0	0.0
40105	0.0	0.0	0.0	0.0	0.0
40106	0.0	0.0	0.0	0.0	0.0
40107	0.0	0.0	0.0	0.0	0.0
40108	0.0	0.0	0.0	0.0	0.0
40109	0.0	0.0	0.0	0.0	0.0
40110	0.0	0.0	0.0	0.0	0.0
40111	0.0	0.0	0.0	0.5520833333333334	0.0
40112	0.0	0.0	0.0	0.0	0.0
40113	0.0	1.6021220159151193	0.667550839964633	3.061892130857648	1.6021220159151193
40114	0.0	0.0	0.0	0.6276150627615062	0.0
40115	0.0	0.7089201877934272	0.3544600938967136	0.0	0.0
40116	1.2905982905982907	3.4687705456936224	2.8671926364234057	8.529257067718607	3.957922419460881
40117	0.0	0.0	0.0	0.0	0.0
40118	0.0	0.0	0.0	1.6486274509803922	0.0
40119	0.0	0.0	0.0	0.0	0.0
40120	0.0	0.0	0.0	0.0	0.0
40121	0.0	0.0	0.0	0.0	0.0
40122	0.0	0.0	0.20147255689424365	0.10107095046854082	0.0
40123	0.0	0.0	0.0	0.0	0.0
40124	0.0	0.0	0.0	0.0	0.0
40125	0.0	0.0	0.0	0.0	0.0
40126	0.0	0.0	0.0	0.0	0.0
40127	0.0	0.0	0.0	0.0	0.0
40128	0.0	0.0	0.0	0.23854660347551343	0.0
40129	1.0616570327552985	2.5176621708413616	2.3192035966602442	3.2003853564547207	3.484906872190109
40130	0.0	0.0	0.36384976525821594	0.0	1.1455399061032865
40131	0.0	0.0	0.6131687242798354	0.0	0.49382716049382713
40132	0.0	0.0	0.0	0.0	0.0
40133	0.0	0.1284013605442177	0.1284013605442177	0.8988095238095238	0.0
40134	0.0	0.0	0.0	0.0	0.0
40135	0.0	0.0	0.0	0.0	0.0
40136	0.0	0.22470238095238096	0.0	1.6852678571428572	0.4494047619047619
40137	0.0	0.0	0.0	0.0	0.0
40138	0.0	0.0	0.0	0.7401960784313726	0.0
40139	0.0	0.0	0.0	0.0	0.0
