bins	ABBA_M11	ABBA_M12	ABBA_M13	ABBA_M14	ABBA_M15
M_adhaesivum	0.048672481237469735	0.07079822150923729	0.0846478399307006	0.15419757768497763	0.07337514328702684
M_aerolatum	0.08704938551288582	0.11516090244369978	0.18553564271282555	0.2677224357246171	0.11626040845530988
M_ajmalii	0.1035633954135772	0.10093451142900994	0.13711133692160318	0.19663454159588037	0.13795627391518347
M_aminovorans	0.05506161412079243	0.08121575805545635	0.09169106456811693	0.18567687813885372	0.08551635916759084
M_aquaticum	0.06764061374581104	0.059444600537353245	0.08241183256314882	0.11861286666428666	0.08711524044227677
M_brachiatum	0.09083113904918262	0.2809207932958303	0.3450900588477749	0.459729095490125	0.13869821283028821
M_brachythecii	0.09633504465647515	0.12765484639688524	0.14761336052223395	0.2646087035294422	0.13631326642102987
M_bullatum	0.05956516074588167	0.07387599986173893	0.08784425421957044	0.12990589043300874	0.08972509567318518
M_cerastii	0.38706810546147186	1.4954446288672498	0.6631862841889447	1.727027360063423	0.3036192810578809
M_crusticola	0.16223494296440352	0.1647506476900952	0.22821703951010103	0.33995989883569916	0.22573846052809696
M_currus	0.06823599588645	0.067661054326361	0.09317384396785854	0.12827704100703216	0.09396014401298364
M_dankookense	0.105416804193159	0.1600928867634408	0.22738694019661498	0.39015176248579075	0.1662056577815461
M_durans	0.12591982617342148	0.14827760693833208	0.1857500506380393	0.3256612959655293	0.17167348592262507
M_extorquens	0.04518300657543758	0.06996986046851891	0.07905548322452653	0.16886890291746157	0.07156085280324423
M_frigidaeris	0.06561303983368239	0.06689579771185115	0.08396424479039828	0.12173190257807673	0.08609550957838691
M_fujisawaense	0.06849892059179649	0.13078524396785415	0.1672557711438607	0.24742268041237114	0.09572337749766899
M_gnaphalii	0.08640416688442651	0.1203585407928725	0.12850895061164805	0.2380894811396889	0.13034149150904528
M_goesingense	0.06232427278600114	0.09895520692459425	0.10280691124657919	0.169074747359616	0.08600140000622392
M_gossipiicola	0.06379094096676985	0.06992820447083811	0.09077355069060514	0.1343247164700955	0.08418652913868571
M_gregans	0.0841742372242869	0.11270807464444767	0.1639338269405953	0.28020216857373287	0.1247204071084877
M_haplocladii	0.09977594696957408	0.19196168928933943	0.18000224507235815	0.35899550531322977	0.1589547998587205
M_hispanicum	0.10560374693559549	0.1475930666404256	0.20867441831421904	0.3610706235308049	0.15452904430301753
M_indicum	0.08077658519228892	0.07418242965081302	0.10703798136726085	0.14834776533593838	0.1092649452304591
M_iners	0.12493880927675022	0.15841982532118534	0.19278380757887825	0.356650289693717	0.17955223494908387
M_isbiliense	0.15647992183061185	0.15096233579816876	0.2236122731791758	0.30686218385154357	0.21473200921405022
M_jeotgali	0.15612621897401674	0.21857284961861093	0.2740260765361405	0.5448739855337653	0.24368492526496316
M_komagatae	0.055178080190197425	0.060728109967609224	0.08938911871400836	0.12024276995899859	0.06673702265500384
M_longum	0.08660763241833902	0.9126093306221338	0.24314210933473215	0.4816245094221693	0.1069480221162274
M_marchantiae	0.059690883246759634	0.0810664850890901	0.0896004722635123	0.14621553134087772	0.09095948680351588
M_mesophilicum	0.08662554935646327	0.26219380327273867	0.33577567563511135	0.4601743000096875	0.12357467495698612
M_nodulans	0.09067586889137735	0.08960165502473011	0.12125289426816677	0.1653446501207939	0.12105151452276056
M_nonmethylotrophicum	0.09109655370731974	0.09072586514853336	0.11914068186264169	0.15864155093130552	0.12119396192646703
M_organophilum	0.12419945467803811	0.19774915982372152	0.23085527567293365	0.5061618211217146	0.19082820772962175
M_oryzihabitans	0.20236728457895406	0.20311491866647352	0.27916634491490755	0.3971401640008603	0.27015899748746447
M_oxalidis	0.13887731588577262	0.20617929647540928	0.26411873086159554	0.48038499825565945	0.2124514113656852
M_persicinum	0.06711478782758047	0.08393716312898951	0.11807058003134217	0.15011407588479236	0.08576985145189472
M_phyllostachyos	0.10229697328997983	0.2259711729552858	0.15951781582385238	0.22977879138413904	0.10910008003263816
M_planeticum	0.11555652376665129	0.18625382296827425	0.21827451167271136	0.4416572067525916	0.17579969603466497
M_platani	0.10437464140241376	0.10153974507003953	0.13506048642561316	0.18656841152125103	0.13175818527909747
M_podarium	0.0958675481145213	0.1370084896492013	0.16667726371306543	0.3569533636251634	0.14725712277171943
M_pseudosasicola	0.0742481275775984	0.41175178155683106	0.37263838994389853	0.5997544000045579	0.13280426781852656
M_radiodurans	0.11989450682754195	0.15284668199242016	0.2205464380259202	0.37572700302092443	0.1723760965179491
M_radiotolerans	0.11036684441906275	0.19046050867430728	0.268136179884072	0.3897670858994856	0.14921808755042318
M_rhodesianum	0.06594311542258452	0.09622630930366222	0.11018767858993433	0.21388696929029938	0.09649346187902866
M_rhodinum	0.1037523857512337	0.16818921897561512	0.1957333389566586	0.40944670548980827	0.1640483058437818
M_salsuginis	0.08299715258332765	0.13531418413219345	0.15261807744244543	0.2933699464646596	0.12971533534581584
M_segetis	0.08037105712849964	0.12950645225645413	0.1487559496541688	0.31731405327208145	0.12410685791998406
M_soli	0.09038085059817438	0.142708078719703	0.15480844656667386	0.3087390542775466	0.13626176926044783
M_sp_001	0.20006829816918098	0.18392191048075296	0.25556746827832183	0.3053132473152593	0.24033133368228315
