gene_callers_id	ACSA_M21	ACSA_M22	ACSA_M23	ACSA_M24	ACSA_M25
525205	0.0	0.0	0.0	0.0	0.0
525206	0.0	0.0	0.0	0.0	0.0
525207	0.0	0.0	0.0	0.0	0.0
525208	0.0	0.0	0.0	0.0	0.0
525209	0.0	0.0	0.0	0.0	0.0
525210	0.0	0.0	0.0	0.0	0.0
525211	0.0	0.0	0.0	0.0	0.0
525212	0.0	0.0	0.0	0.0	0.0
525213	0.14670255720053835	0.17451772095109916	0.0677433826828174	0.15208613728129206	0.2189322566173172
525214	0.0	0.0	0.0	0.0	0.0
525215	0.0	0.0	0.0	0.0	0.0
525216	0.0	0.0	0.0	0.0	0.0
525217	0.0	0.0	0.0	0.0	0.0
525218	0.0	0.0	0.0	0.0	0.0
525219	0.0	0.0	0.0	0.0	0.0
525220	0.0	0.0	0.0	0.0	0.0
525221	0.0	0.0	0.0	0.0	0.0
525222	0.0	0.0	0.0	0.0	0.0
525223	0.0	0.0	0.0	0.0	0.4
525224	0.0	0.0	0.0	0.0	0.0
525225	0.0	0.0	0.0	0.0	0.0
525226	0.0	0.0	0.0	0.0	0.0
525227	0.0	0.0	0.0	0.0	0.0
525228	0.0	0.0	0.0	0.0	0.0
525229	0.2105997210599721	0.0	0.0	0.0	0.0
525230	0.0	0.0	0.0	0.0	0.0
525231	0.0	0.0	0.0	0.0	0.0
525232	0.0	0.0	0.0	0.0	0.0
525233	0.0	0.0	0.0	0.0	0.0
525234	0.0	0.0	0.0	0.0	0.0
525235	0.0	0.0	0.0	0.0	0.0
525236	0.0465618254702436	0.0	0.0	0.06043786617329633	0.0
525237	0.0	0.0	0.0	0.0	0.0
525238	0.0	0.0	0.0	0.0	0.0
525239	0.0	0.0	0.0	0.0	0.0
525240	0.0	0.0	0.0	0.0	0.0
525241	0.0	0.0	0.0	0.0	0.0
525242	0.0	0.0	0.0	0.0	0.0
525243	0.0	0.0	0.0	0.0	0.0
525244	0.0	0.0	0.0	0.0	0.0
525245	0.0	0.0	0.0	0.0	0.16833890746934224
525246	0.0	0.0	0.0	0.0	0.0
525247	0.0	0.0	0.0	0.0	0.0
525248	0.0	0.0	0.0	0.0	0.14480077745383868
525249	0.0	0.0	0.0	0.0	0.0
525250	0.0	0.0	0.0	0.0	0.0
525251	0.0	0.0	0.0	0.0	0.25
525252	0.0	0.0	0.0	0.0	0.0
525253	0.14178403755868543	0.0	0.0	0.0	0.14178403755868543
525254	0.0	0.0	0.0	0.0	0.0
525255	0.0	0.0	0.0	0.0	0.0
525256	0.0	0.15631469979296067	0.15631469979296067	0.0	0.1873706004140787
525257	0.0	0.0	0.0	0.0	0.0
525258	0.0	0.0	0.0	0.0	0.0
525259	0.0	0.0	0.0	0.0	0.0
525260	0.0	0.0	0.0	0.0	0.0
525261	0.0	0.0	0.0	0.0	0.0
525262	0.0	0.0	0.0	0.0	0.0
525263	0.0	0.0	0.0	0.0	0.0
525264	0.0	0.0	0.0	0.0	0.0
525265	0.0	0.0	0.0	0.0	0.0
525266	0.0	0.0	0.0	0.0	0.0
525267	0.0	0.0	0.0	0.0	0.0
525268	0.0	0.0	0.0	0.0	0.0
525269	0.0	0.0	0.0	0.0	0.0
525270	0.0	0.0	0.3247311827956989	0.0	0.0
525271	0.0	0.0	0.0	0.0	0.0
525272	0.0	0.0	0.0	0.0	0.0
525273	0.0	0.0	0.0	0.0	0.0
525274	0.0	0.0	0.0	0.0	0.0
525275	0.0	0.23742138364779874	0.0	0.0	0.0
525276	0.0	0.0	0.0	0.0	0.0
525277	0.0	0.0	0.0	0.0	0.0
525278	0.0	0.0	0.0	0.0	0.0
525279	0.0	0.0	0.0	0.0	0.0
525280	0.0	0.0	0.0	0.08004212743549237	0.0
525281	0.0	0.0	0.0	0.0	0.0
525282	0.0	0.0	0.0	0.0	0.0
525283	0.0	0.0	0.0	0.0	0.0
525284	0.0	0.0	0.0	0.0	0.13216145833333334
525285	0.0	0.0	0.0	0.0	0.0
525286	0.16160220994475138	0.0	0.070902394106814	0.0	0.31123388581952116
525287	0.12618147448015124	0.06521739130434782	0.0	0.04757403906742281	0.13831127914303717
525288	0.06633395716365148	0.031191515907673113	0.0	0.08567269702640881	0.032439176543980035
525289	0.17601087325857967	0.0	0.12300373768263677	0.1382942575603126	0.0618416581719334
525290	0.0	0.0	0.0	0.0	0.0
525291	0.0	0.0	0.0	0.0	0.0
525292	0.0	0.10259481037924152	0.0	0.0	0.0
525293	0.45267489711934156	0.0	0.23731138545953362	0.43209876543209874	0.44170096021947874
525294	0.0	0.0	0.0	0.0	0.0
525295	0.0	0.0	0.0	0.0	0.0
525296	0.0	0.0	0.0	0.0	0.0
525297	0.0	0.0	0.0	0.0	0.0
525298	0.0	0.0	0.0	0.0	0.0
525299	0.0	0.0	0.0	0.0	0.0
525300	0.0	0.0	0.0	0.0	0.0
525301	0.06291666666666666	0.09125	0.06291666666666666	0.08875	0.09458333333333334
525302	0.0	0.0	0.0	0.0	0.0
525303	0.0	0.0	0.0	0.0	0.0
525304	0.0	0.0	0.0	0.0	0.0
525305	0.0	0.0	0.0	0.0	0.0
525306	0.0	0.0	0.0	0.0	0.0
525307	0.0	0.0	0.0	0.0	0.0
525308	0.0	0.0	0.0	0.0	0.0
525309	0.0	0.0	0.0	0.0	0.0
525310	0.0	0.0	0.0	0.0	0.0
525311	0.0	0.0	0.0	0.0	0.0
525312	0.0	0.0	0.0	0.0	0.0
525313	0.0	0.0	0.0	0.06783468104222821	0.06783468104222821
525314	0.0	0.0	0.0	0.0	0.0
525315	0.17708333333333334	0.20416666666666666	0.209375	0.203125	0.19895833333333332
525316	0.0	0.0	0.0	0.0	0.0
525317	0.0	0.0	0.0	0.0	0.0
525318	0.0	0.0	0.0	0.0	0.0
525319	0.0	0.0	0.0	0.0	0.0
525320	0.0	0.0	0.0	0.0	0.0
525321	0.0	0.0	0.0	0.1932555123216602	0.0
525322	0.0	0.0	0.0	0.0	0.0
525323	0.0	0.0	0.0	0.0	0.0
525324	0.0	0.0	0.0	0.0	0.0
525325	0.0	0.0	0.0	0.0	0.0
525326	0.0	0.0	0.0	0.0	0.0
525327	0.0	0.0	0.0	0.0	0.0
525328	0.0	0.0	0.0	0.0	0.0
525329	0.0	0.0	0.0	0.0	0.0
525330	0.0	0.0	0.0	0.0	0.0
525331	0.0	0.0	0.0	0.0	0.0
525332	0.5816831683168316	0.32838283828382836	0.15264026402640263	0.26897689768976896	0.6311881188118812
525333	0.1729667812142039	0.0	0.0	0.1970217640320733	0.0
525334	0.0	0.0	0.0	0.07347931873479319	0.07250608272506083
525335	0.0	0.0	0.20885200553250347	0.0	0.0
525336	0.0	0.0	0.0	0.0	0.0
525337	0.0	0.0	0.0	0.0	0.0
525338	0.0	0.0	0.0	0.0	0.0
525339	0.0	0.0	0.0	0.0	0.0
525340	0.0	0.0	0.0	0.0	0.0
525341	0.0	0.0	0.0	0.0	0.0
525342	0.43622920517560076	0.532347504621072	0.18176216882316698	0.32717190388170053	0.42513863216266173
525343	0.0	0.0	0.0	0.0	0.0
525344	0.0	0.0	0.0	0.0	0.0
525345	0.0	0.04132457580733443	0.04132457580733443	0.08675424192665572	0.08264915161466886
525346	0.0	0.0	0.0	0.0	0.0
525347	0.0	0.0	0.0	0.0	0.0
525348	0.0	0.0	0.0	0.0	0.0
525349	0.0	0.0	0.0	0.0	0.0
525350	0.0	0.0	0.0	0.0	0.0
525351	0.0	0.0	0.0	0.0	0.0
525352	0.0	0.0	0.0	0.0	0.0
525353	0.0	0.0	0.0	0.0	0.0
525354	0.0	0.0	0.0	0.0	0.0
525355	0.0	0.0	0.0	0.0	0.0
525356	0.0	0.0	0.0	0.0	0.0
525357	0.0	0.0	0.0	0.0	0.0
525358	0.0	0.0	0.0	0.0	0.0
525359	0.0	0.0	0.0	0.0	0.0
525360	0.0	0.0	0.0	0.0	0.0
525361	0.0	0.0	0.0	0.0	0.0
525362	0.0	0.11159929701230228	0.0	0.0	0.061804335090802576
525363	0.0	0.0	0.0	0.0	0.0
525364	0.0	0.0	0.0	0.0	0.0
525365	0.0	0.0	0.0	0.0	0.0
525366	0.0	0.0	0.0	0.0	0.0
525367	0.0	0.0	0.0	0.0	0.0
525368	0.0	0.0	0.0	0.0	0.0
525369	0.0	0.0	0.0	0.0	0.0
525370	0.0	0.0	0.0	0.0	0.0
525371	0.0	0.0	0.0	0.0	0.0
525372	0.0	0.1008684034736139	0.0	0.0	0.0
525373	0.0	0.0	0.0	0.0	0.1321084864391951
525374	0.0	0.0	0.0	0.0	0.0
525375	0.0	0.0	0.0	0.0	0.0
525376	0.0	0.0	0.0	0.2144702842377261	0.19509043927648578
525377	0.0	0.0	0.0	0.09424083769633508	0.10645724258289703
525378	0.0	0.0	0.0	0.0	0.0
525379	0.0	0.0	0.0	0.0	0.0
525380	0.0	0.0	0.0	0.0	0.0
525381	0.0	0.0	0.0	0.0	0.0
525382	0.0	0.2773186409550046	0.1386593204775023	0.0	0.0
525383	0.0	0.0	0.0	0.0	0.0
525384	0.0	0.0	0.0	0.0	0.0
525385	0.0	0.0	0.0	0.0	0.12894596040663456
525386	0.0	0.0	0.0	0.0	0.0
525387	0.0	0.0	0.0	0.14760508308895406	0.2013685239491691
525388	0.0	0.0	0.0	0.0	0.0
525389	0.0	0.0	0.0	0.0	0.0
525390	0.0	0.0	0.0	0.0	0.0
525391	0.0	0.0	0.0	0.0	0.0
