gene_callers_id	ACSA_M21	ACSA_M22	ACSA_M23	ACSA_M24	ACSA_M25
44511	0.0	0.0	0.0	0.0	0.0
44512	0.0	0.0	0.0	0.0	0.0
44513	0.0	0.0	0.0	0.0	0.24979321753515302
44514	0.5852713178294574	0.0	0.0	0.0	0.0
44515	0.0	0.0	0.0	0.0	0.0
44516	0.1371480472297911	0.0	0.0	0.0	0.0
44517	0.0	0.0	0.0	0.0	0.0
44518	0.0	0.0	0.0	0.0	0.0
44519	0.0	0.0	0.0	0.0	0.0
44520	0.0	0.0	0.0	0.0	0.0
44521	0.0	0.0	0.0	0.0	0.0
44522	0.0	0.0	0.0	0.0	0.0
44523	0.0	0.0	0.0	0.0	0.0
44524	0.0	0.0	0.0	0.0	0.0
44525	0.0	0.0	0.0	0.0	0.0
44526	0.0	0.0	0.0	0.0	0.0
44527	0.0	0.0	0.0	0.0	0.0
44528	0.0	0.0	0.0	0.0	0.0
44529	0.0	0.39649122807017545	0.0	0.0	0.2649122807017544
44530	0.0	0.0	0.0	0.0	0.0
44531	0.0	0.0	0.0	0.0	0.0
44532	0.0	0.0	0.0	0.0	0.0
44533	0.0	0.0	0.0	0.0	0.0
44534	0.0	0.0	0.0	0.0	0.0
44535	0.0	0.0	0.0	0.0	0.0
44536	0.0	0.0	0.0	0.0	0.0
44537	0.0	0.7973333333333333	0.0	0.0	0.0
44538	0.0	0.17476851851851852	0.0	0.0	0.0
44539	0.0	0.0	0.0	0.0	0.0
44540	0.0	0.0	0.0	0.0	0.0
44541	0.0	0.0	0.0	0.0	0.0
44542	0.26335174953959484	0.09208103130755065	0.08901166359729895	0.18538980969920196	0.5537139349294046
44543	0.0	0.0	0.0	0.0	0.0
44544	0.0	0.0	0.0	0.0	0.0
44545	0.0	0.0	0.0	0.0	0.0
44546	0.1875538329026701	0.44164513350559864	0.0	0.35745047372954347	0.7153316106804479
44547	0.0	0.0	0.0	0.0	0.0
44548	0.0	0.0	0.0	0.0	0.0
44549	0.0	0.0	0.0	0.0	0.0
44550	0.0	0.0	0.0	0.0	0.0
44551	0.3471264367816092	0.0	0.0	0.0	0.5149425287356322
