gene_callers_id	ACSA_M21	ACSA_M22	ACSA_M23	ACSA_M24	ACSA_M25
44511	0.0	0.0	0.0	0.0	0.0
44512	0.0	0.0	0.0	0.0	0.0
44513	0.0	0.0	0.0	0.0	0.12489660876757651
44514	0.3178294573643411	0.0	0.0	0.0	0.0
44515	0.0	0.0	0.0	0.0	0.0
44516	0.08946412352406903	0.0	0.0	0.0	0.0
44517	0.0	0.0	0.0	0.0	0.0
44518	0.0	0.0	0.0	0.0	0.0
44519	0.0	0.0	0.0	0.0	0.0
44520	0.0	0.0	0.0	0.0	0.0
44521	0.0	0.0	0.0	0.0	0.0
44522	0.0	0.0	0.0	0.0	0.0
44523	0.0	0.0	0.0	0.0	0.0
44524	0.0	0.0	0.0	0.0	0.0
44525	0.0	0.0	0.0	0.0	0.0
44526	0.0	0.0	0.0	0.0	0.0
44527	0.0	0.0	0.0	0.0	0.0
44528	0.0	0.0	0.0	0.0	0.0
44529	0.0	0.20175438596491227	0.0	0.0	0.1482456140350877
44530	0.0	0.0	0.0	0.0	0.0
44531	0.0	0.0	0.0	0.0	0.0
44532	0.0	0.0	0.0	0.0	0.0
44533	0.0	0.0	0.0	0.0	0.0
44534	0.0	0.0	0.0	0.0	0.0
44535	0.0	0.0	0.0	0.0	0.0
44536	0.0	0.0	0.0	0.0	0.0
44537	0.0	0.6266666666666667	0.0	0.0	0.0
44538	0.0	0.17476851851851852	0.0	0.0	0.0
44539	0.0	0.0	0.0	0.0	0.0
44540	0.0	0.0	0.0	0.0	0.0
44541	0.0	0.0	0.0	0.0	0.0
44542	0.18047882136279927	0.09208103130755065	0.08901166359729895	0.09944751381215469	0.3149171270718232
44543	0.0	0.0	0.0	0.0	0.0
44544	0.0	0.0	0.0	0.0	0.0
44545	0.0	0.0	0.0	0.0	0.0
44546	0.13006029285099052	0.13006029285099052	0.0	0.146640826873385	0.14233419465977606
44547	0.0	0.0	0.0	0.0	0.0
44548	0.0	0.0	0.0	0.0	0.0
44549	0.0	0.0	0.0	0.0	0.0
44550	0.0	0.0	0.0	0.0	0.0
44551	0.1735632183908046	0.0	0.0	0.0	0.4908045977011494
