bins	ACSA_M21	ACSA_M22	ACSA_M23	ACSA_M24	ACSA_M25
M_adhaesivum	0.01948767699501932	0.011954445735209422	0.0076206678789500935	0.014857811809886708	0.021673592473524236
M_aerolatum	0.024693884036251102	0.01599521900425308	0.009358409642358146	0.021470402212543142	0.03031093898797473
M_ajmalii	0.023528438890917654	0.021144726883973983	0.013792610704475811	0.02001254306717686	0.02618934209760306
M_aminovorans	0.01932036074517787	0.012145862110833785	0.008600694199251815	0.015329316210180787	0.022661810624869078
M_aquaticum	0.013322643315773108	0.013015241723116735	0.007791049762812964	0.012479605348678705	0.015920023262233997
M_brachiatum	0.06819508620212358	0.02549428771036301	0.01707684913362516	0.04444839143053235	0.08133918083178104
M_brachythecii	0.025712183425246855	0.015070797752663581	0.011433018984779268	0.019787874810272377	0.027886494351154634
M_bullatum	0.019699953019869303	0.015198491563517975	0.008687744935318976	0.014401854170974542	0.01939745579173792
M_cerastii	0.26104149067732824	0.08099808780933915	0.03402860565966866	0.1332220115711289	0.31153731666797807
M_crusticola	0.030011271751061837	0.026213321574614035	0.016143265162247542	0.025389183675931126	0.0345091159113968
M_currus	0.018872104876157744	0.017200474878746465	0.01129676887491309	0.016142003980563282	0.02103384899036621
M_dankookense	0.031383721954569115	0.01930635843797695	0.013317992242935915	0.024144305686749634	0.03653870610191002
M_durans	0.022849651057874676	0.01565499843482424	0.011179111348444952	0.019392859115767765	0.02895921336107684
M_extorquens	0.01788596750639426	0.01194493464978165	0.008405168577746258	0.015457103708107855	0.01975995170359305
M_frigidaeris	0.015201475530444993	0.01395306808306652	0.008339207940589136	0.01359841270248169	0.017514489985824038
M_fujisawaense	0.0286737679206362	0.017574733567975117	0.010353678687958029	0.02164021446562994	0.0367417292371422
M_gnaphalii	0.020298155726307256	0.012054555189579095	0.007994882066516764	0.014819003266502576	0.022692779377481806
M_goesingense	0.02676190258371261	0.014683005821611313	0.009630010674391322	0.019167787409017405	0.028154410113339016
M_gossipiicola	0.016950242615182815	0.012105895366608062	0.007798384628220273	0.013431300286983206	0.017584545120014675
M_gregans	0.024505297489969994	0.01742149421543654	0.010341520682432088	0.019327486942757377	0.029428430225503885
M_haplocladii	0.06985830305838119	0.03291237145176371	0.016149380799094358	0.029766458402680763	0.06683286258188945
M_hispanicum	0.026753400618199835	0.01791268856441648	0.010942404918635386	0.021361192199120353	0.03144068126867739
M_indicum	0.018066580679798525	0.017164715712314257	0.009662838937331464	0.016282477149878783	0.02118986979937857
M_iners	0.027579773595233874	0.017324481348339634	0.01175244044072607	0.021226493208330165	0.0320011559359824
M_isbiliense	0.0276716994712923	0.023101825468078943	0.014470000618228977	0.02352683995916533	0.03068065288996227
M_jeotgali	0.036014448295409694	0.022862714284689185	0.01679138950480414	0.029831451502952806	0.043835973995220975
M_komagatae	0.013540771428514311	0.009010461258196966	0.005512955673001311	0.010965029851014803	0.015441909694387617
M_longum	0.24495478509562824	0.02529556448531608	0.03623829288200528	0.06155577753104063	0.0966816221042931
M_marchantiae	0.016970452973784304	0.012975110594657172	0.008772589472069119	0.014809379302453443	0.019170751909305988
M_mesophilicum	0.06306956718692651	0.028504965868607443	0.02195652084928019	0.057659744877562244	0.09141028894683198
M_nodulans	0.018228374134604486	0.01614126540243932	0.009918744404075473	0.014881397512077694	0.020049503214269633
M_nonmethylotrophicum	0.01982768791981788	0.016964332686533086	0.010591758378991574	0.0171488469708756	0.022732670597182716
M_organophilum	0.040128325037253096	0.022362163533179037	0.015300323388605307	0.03088737674772518	0.04675442281474906
M_oryzihabitans	0.032582550864964456	0.02971582246450573	0.017986933794018035	0.029607650054915845	0.04018940063550493
M_oxalidis	0.030622086339983562	0.02047806277995947	0.01370414034374456	0.026367589369287046	0.03968386763851127
M_persicinum	0.016361784550139608	0.010825210552384515	0.007208966116038138	0.01445720005971745	0.021330397794475982
M_phyllostachyos	0.03837460262149284	0.024285267311338933	0.013058586750625016	0.026522656684587285	0.04943137591965215
M_planeticum	0.03541008940257026	0.021698972202319054	0.015019563726349506	0.028510280529709803	0.042828817819925216
M_platani	0.0215437599392929	0.020276798184481817	0.011620199063481917	0.018522926754262953	0.025175792901084727
M_podarium	0.02848391736265992	0.017145140606454185	0.012374771683962492	0.023161118436804216	0.03746543303210679
M_pseudosasicola	0.099009141631522	0.028066650918582257	0.01826573270884436	0.06399507280713403	0.1013584987137847
M_radiodurans	0.030678764805643632	0.021398289978058357	0.014310896177497137	0.024906786384448962	0.03604819398901925
M_radiotolerans	0.0353426746348442	0.023591158859621025	0.014261984516843476	0.026443120924293132	0.048133744787371126
M_rhodesianum	0.021819196205773793	0.01269434742298446	0.007704548346370691	0.016560161492777073	0.02553103734876326
M_rhodinum	0.03133431519551969	0.020017558093204397	0.012731837306841551	0.025730782563400216	0.03905898831199244
M_salsuginis	0.027724322580996597	0.01728229208871227	0.012192292947126033	0.022280063406159505	0.03202935211550154
M_segetis	0.02573542184744888	0.01618302352210931	0.010116158166512594	0.020605529645923718	0.03162947009798461
M_soli	0.02492559954694129	0.015164530857855837	0.010413280697096709	0.019974895252735915	0.030571234532339474
M_sp_001	0.026456687091256863	0.016173629123428995	0.011990901360709679	0.02133568647443294	0.0296659227160489
M_sp_002	0.03469430974380393	0.020671464401772466	0.013378886105573595	0.026413319769823335	0.04365772771692015
M_sp_003	0.04207795648678616	0.02162340690789056	0.01053332631643895	0.02309895091379927	0.03958036551970689
M_sp_004	0.04110136119267012	0.018860039960596844	0.012621870662407813	0.02404723282024819	0.039740606512350916
M_sp_005	0.02960748196306724	0.020160422673022812	0.01333333064949061	0.02435627529060481	0.03540941316235645
M_sp_006	0.02963714472588893	0.03010597980860106	0.011238937291498457	0.020570261499270832	0.04027502644409812
M_sp_007	0.021218693195174068	0.015270200846441765	0.009237043048551805	0.016984995282773026	0.02825060547496147
M_sp_008	0.0350193775140921	0.024342864723414407	0.011151210939794449	0.02329856875311421	0.04809175739408297
M_sp_009	0.02093401559042021	0.013643074291782372	0.009388646903765101	0.01693820686673903	0.02388444857933588
M_sp_010	0.0936318460515949	0.042524784361020515	0.015717547048838067	0.03776359746999247	0.053951376142750876
M_sp_011	0.030846779575202373	0.019713644344139983	0.013027477433648512	0.023092246715684207	0.05082563182770441
M_sp_012	0.016752669914117176	0.011610940175057252	0.007954246673771719	0.013179671521785816	0.01704329465696044
M_sp_013	0.017697054871030966	0.013575902200170334	0.009354427061171197	0.015504108612362344	0.021335887983533395
M_sp_014	0.03717924787440775	0.020648071413647516	0.011733941082555098	0.02425888794611747	0.03462639932839064
M_sp_015	0.021819524835155295	0.014731471206717797	0.0071611610983143776	0.015782154066302786	0.02159598873850006
M_sp_016	0.013432619139196212	0.008721916785447634	0.005716758297699043	0.010088274998680211	0.013681870630557253
M_sp_017	0.030572946280199916	0.021766914577049747	0.014829522532051612	0.025914136815477218	0.03642747869620649
M_sp_018	0.765098445320169	0.786882909091432	0.289670094527568	0.8243160920480326	0.9244099419410516
M_sp_019	0.03676562933768128	0.02803282854942073	0.013430458293744355	0.02831826019636133	0.06115134524326205
M_sp_020	0.061804966875144224	0.029713880396613504	0.018117789619802458	0.039999414142597695	0.07148073067178715
M_sp_021	0.7574077474896529	0.20228396035297178	0.21303731294376232	0.5507156010609606	0.7593755513833466
M_sp_022	0.2661588785553145	0.618443489922042	0.13492252063316812	0.4135108068491133	0.8280014049092679
M_sp_023	0.26789153611339345	0.2859990655251925	0.134873820356925	0.19368457344407097	0.5747300320964801
M_sp_024	0.21721598595343083	0.1857598116482771	0.06819625291805503	0.4296224585486542	0.7544168079969672
M_sp_025	0.11791759799252008	0.0591223001426958	0.04626996766675582	0.13008608156865142	0.37846003053830146
M_sp_026	0.15999790721192111	0.2161764913890744	0.05138053290354118	0.20624776329471764	0.7531516916982474
M_sp_027	0.17531556273449528	0.14579564664891376	0.08209320413545888	0.21061991195395577	0.4041594003204445
M_sp_028	0.03354780552431851	0.02118669680607359	0.011986166864893325	0.029802183131062327	0.04446696496542154
M_sp_029	0.28334121578276944	0.14044941872149333	0.09855026753842487	0.42505946512818943	0.42835139914356946
M_sp_030	0.4404692770503544	0.07256356325015373	0.06106879705515237	0.20892963262600198	0.38129550337425083
M_sp_031	0.0273707852444629	0.015624675606556759	0.009693112006568083	0.020969735861164324	0.035430527113787
M_sp_032	0.05724111551335397	0.021495094791720976	0.015223373565783236	0.042942037560809866	0.06310960341069387
M_sp_033	0.03332116169977614	0.020213364228245177	0.01185795102570431	0.02860089701933975	0.04730783376103101
M_sp_034	0.05154730838819855	0.030298094526712997	0.016206813162133668	0.251013979756047	0.25809737041697056
M_sp_035	0.025182386209570348	0.014841359966375853	0.009455717891369248	0.01904027889458076	0.03110721718595321
M_sp_036	0.02152111614993129	0.014858254229172528	0.009110695702725557	0.018948166222589786	0.028020700551688156
M_sp_037	0.017321586136404846	0.009094526953292093	0.006727518755289493	0.012671980956535395	0.01891123875574557
M_sp_038	0.028709315335733652	0.018350235967466613	0.011887309397099536	0.022668117854632564	0.0345787371078565
M_sp_039	0.014122732061537616	0.008525595489346224	0.00604995212749529	0.011380958754148093	0.016977752154262712
