gene_callers_id	COCO_M01	COCO_M02	COCO_M03	COCO_M04	COCO_M05
90389	0.0	0.0	0.0	0.10168350168350168	0.0
90390	0.0	0.0	0.0	0.0	0.26916221033868093
90391	0.0	0.0	0.0	0.0	0.0
90392	0.0817099567099567	0.0	0.0	0.0	0.40854978354978355
90393	0.34101174345076785	0.2046070460704607	0.477416440831075	0.13640469738030714	1.2944896115627822
90394	0.0	0.0	0.0	0.0	0.0
90395	0.44542772861356933	4.008849557522124	2.672566371681416	0.8908554572271387	2.2123893805309733
90396	0.0	0.0	0.0	0.0	0.0
90397	0.0	0.0	0.0	0.0	0.0
90398	0.0	0.0	0.0	0.0	0.0
90399	0.0	0.0	0.0	0.0	0.0
90400	0.0	0.0	0.0	0.0	0.0
90401	0.0	0.0	0.0	0.0	0.0
90402	0.0	0.0	0.0	0.0	0.0
90403	0.0	0.0	0.0	0.0	0.0
90404	0.0	0.0	0.0	0.0	0.0
90405	0.0	0.0	0.0	0.0	0.0
90406	0.0	0.0	0.0	0.0	0.0
90407	0.0	0.0	0.0	0.0	0.0
90408	0.0	0.0	0.0	0.0	0.0
90409	0.0	0.0	0.0	0.0	0.0
90410	0.0	0.0	0.0	0.0	0.0
90411	0.0	0.0	0.0	0.0	0.0
90412	0.0	0.0	0.0	0.0	0.0
90413	0.1261487050960735	0.1261487050960735	0.0	0.0	0.0
90414	0.0	0.0	0.0	0.0	0.0
90415	0.0	0.0	0.0	0.0	0.0
90416	0.0	0.0	0.719047619047619	0.719047619047619	0.3595238095238095
90417	0.0	0.0	0.0	0.0	0.0
90418	0.0	0.0	0.0	0.0	0.0
90419	0.0	0.0	0.0	0.7294685990338164	0.0
90420	0.1371480472297911	0.06857402361489555	0.0	0.1371480472297911	0.754314259763851
90421	0.0	0.0	0.0	0.0	0.0
90422	0.0	0.0	0.0	0.0	0.0
90423	0.0	0.0	0.0	0.0	0.0
90424	0.0	0.0	0.0	0.0	0.0
90425	0.14891518737672585	0.5956607495069034	0.0	0.0	0.14891518737672585
90426	0.0	0.0	0.4660493827160494	0.0	0.11651234567901235
90427	0.0	0.0	0.0	0.0	0.0
90428	0.0	0.0	0.0	0.0	0.0
90429	1.0016583747927033	0.0	0.2504145936981758	0.2504145936981758	0.0
90430	0.0	0.0	0.0	0.0	0.0
90431	0.0	0.0	0.0	0.0	0.0
90432	0.0	0.0	0.0	0.0	0.0
90433	0.0	0.08224400871459694	0.1644880174291939	0.4923747276688453	0.32570806100217864
90434	0.0	0.0	0.0	0.0	0.0
90435	0.0	0.0	0.0	0.0	0.0
90436	0.0	0.0	0.0	0.0	0.0
90437	0.0	0.0	0.0	0.0	0.0
90438	0.0	0.0	0.0	0.0	0.0
90439	0.0	0.0	0.0	0.0	0.0
90440	0.0	0.0	0.0	0.0	0.0
90441	0.0	0.0	0.0	0.0	0.0
90442	0.0	0.0	0.0	0.0	0.0
90443	0.0	0.0	0.0	0.0	0.0
90444	0.0	0.0	0.0	0.0	0.0
90445	0.0	0.19584954604409857	1.5667963683527886	0.0	2.154345006485084
