gene_callers_id	COCO_M01	COCO_M02	COCO_M03	COCO_M04	COCO_M05
199186	0.0	0.0	0.0	0.0	0.0
199187	0.0	0.0	0.0	0.0	0.0
199188	0.0	0.0	0.0	0.0	0.0
199189	0.0	0.13458110516934046	0.0	0.0	0.0
199190	0.0	0.0	0.0	0.0	0.1303972366148532
199191	0.0	0.0	0.0	0.0	0.0
199192	0.0817099567099567	0.08441558441558442	0.0	0.0	0.0817099567099567
199193	0.0	0.0	0.0	0.0	0.2197962154294032
199194	0.0	0.0	0.0	0.0	0.0
199195	0.0	0.0	0.0	0.0	0.0
199196	0.25381850853548965	0.25336927223719674	0.288858939802336	0.07457322551662174	0.31805929919137466
199197	0.0	0.0	0.6371308016877637	0.7552742616033755	0.620253164556962
199198	0.0	0.0	0.4494047619047619	0.0	0.0
199199	0.0	0.0	0.0	0.0	0.0
199200	0.0	0.0	0.0	0.0	0.0
199201	0.0	0.0	0.0	0.0	0.0
199202	0.0	0.0	0.0	0.0	0.0
199203	0.0	0.0	0.0	0.0	0.0
199204	0.0	0.0	0.0	0.0	0.0
199205	0.15873015873015872	0.3124098124098124	0.2481962481962482	0.2532467532467532	0.19480519480519481
199206	0.0	0.0	0.0	0.0	0.0
199207	0.0	0.0	0.0	0.0	0.0
199208	0.0	0.0	0.0	0.0	0.0
199209	0.0	0.0	0.0	0.0	0.0
199210	0.0	0.0	0.0	0.0	0.0
199211	0.0	0.0	0.0	0.0	0.0
199212	0.0	0.0	0.0	0.0	0.0
199213	0.0	0.0	0.0	0.0	0.0
199214	0.0	0.0	0.0	0.0	0.0
199215	0.0	0.0	0.0	0.0	0.0
199216	0.0	0.0	0.0	0.0	0.0
199217	0.0	0.0	0.0	0.0	0.0
199218	0.0	0.0	0.0	0.0	0.0
199219	0.0	0.0	0.0	0.0	0.0
199220	0.0	0.0	0.0	0.0	0.0
199221	0.0	0.0	0.0	0.0	0.0
199222	0.0	0.0	0.0	0.0	0.0
199223	0.0	0.0	0.0	0.0	0.0
199224	0.0	0.11730205278592376	0.0	0.0	0.0
199225	0.0	0.0	0.0	0.09947299077733861	0.0
199226	0.0	0.0	0.0	0.0	0.06213991769547325
199227	0.0	0.0	0.0	0.0	0.1252072968490879
199228	0.0	0.0	0.0	0.0	0.24124124124124124
199229	0.0	0.0	0.0	0.0	0.0
199230	0.0	0.0	0.0	0.0	0.0
199231	0.0	0.0	0.0	0.0	0.0
199232	0.18336369156041288	0.13479052823315119	0.0	0.0	0.100789313904068
199233	0.0	0.0	0.0	0.0	0.0
199234	0.0	0.0	0.0	0.0	0.0
199235	0.0	0.0	0.0	0.0	0.0
199236	0.0	0.0	0.0	0.0	0.0
199237	0.0	0.0	0.0	0.0	0.0
199238	0.0	0.0	0.0	0.0	0.0
199239	0.0	0.0	0.0	0.0	0.06605424321959755
199240	0.0	0.0	0.0	0.0	0.1486111111111111
199241	0.0	0.4140786749482402	0.7080745341614907	0.556935817805383	0.0
199242	0.20055710306406685	0.3110492107706592	0.2785515320334262	0.28040854224698236	0.30176415970287834
199243	0.4855072463768116	0.348731884057971	0.3342391304347826	0.44655797101449274	0.5081521739130435
199244	0.0	0.0	0.0	0.0	0.0
199245	0.3032128514056225	0.0	0.1606425702811245	0.0	0.20983935742971888
199246	0.0	0.0	0.0	0.0	0.0
199247	0.0	0.0	0.07482993197278912	0.0	0.01870748299319728
199248	0.0	0.0	0.4432624113475177	0.0	0.4858156028368794
199249	0.23167848699763594	0.11899133175728921	0.0	0.23955870764381404	0.0
199250	0.0	0.0	0.0	0.0	0.0
199251	0.0	0.0	0.0	0.0	0.0
199252	0.0	0.0	0.0	0.0	0.0
199253	0.0	0.0	0.0	0.0	0.0
199254	0.0	0.0	0.0	0.0	0.0
199255	0.028495692511597084	0.0	0.0	0.0	0.0
199256	0.0	0.0	0.2062841530054645	0.25136612021857924	0.4890710382513661
199257	0.0	0.0	0.0	0.0	0.0
199258	0.0	0.0	0.0	0.0	0.0
199259	0.0	0.0	0.0	0.0	0.0
199260	0.0	0.0	0.0	0.0	0.0
199261	0.0	0.0	0.0	0.0	0.0
199262	0.0	0.0	0.0	0.0	0.0
199263	0.0	0.0	0.0	0.0	0.0
199264	0.0	0.0	0.0	0.0	0.0
199265	0.0	0.0	0.0	0.0	0.0
199266	0.0	0.0	0.0	0.0	0.0
199267	0.0	0.0	0.0	0.0	0.0
199268	0.0	0.0	0.0	0.0	0.0
199269	0.0	0.0	0.0	0.0	0.0
199270	0.0	0.0	0.0	0.0	0.0
199271	0.0	0.0	0.0	0.0	0.0
199272	0.0	0.0	0.0	0.0	0.0
199273	0.0	0.0	0.0	0.0	0.0
199274	0.0	0.0	0.0	0.0	0.0
199275	0.0	0.0	0.0	0.0	0.0
199276	0.0	0.0	0.0	0.0	0.0
199277	0.0	0.0	0.0	0.0	0.0
199278	0.0	0.0	0.0	0.0	0.0
199279	0.0	0.0	0.0	0.0	0.0
199280	0.0	0.0	0.0	0.0	0.0
199281	0.0	0.06783468104222821	0.06783468104222821	0.0	0.20934411500449238
199282	0.0	0.0	0.0	0.0	0.0
199283	0.0	0.0	0.07960672375515382	0.09578179511576276	0.0
199284	0.0	0.0	0.0	0.0	0.0
199285	0.0	0.0	0.0	0.0	0.0
199286	0.20907738095238096	0.0	0.18080357142857142	0.0	0.0
199287	0.2564102564102564	0.0	0.08974358974358974	0.0	0.0
199288	0.0	0.0	0.0	0.0	0.0
199289	0.0	0.0	0.0	0.0	0.0
199290	0.0	0.0	0.0	0.0	0.0
199291	0.0	0.0	0.0	0.0	0.0
199292	0.0	0.0	0.0	0.0	0.0
199293	0.0	0.0	0.0	0.0	0.0
199294	0.0	0.0	0.0	0.07936507936507936	0.0
199295	0.0	0.0	0.0	0.0	0.0
199296	0.0	0.0	0.0	0.0	0.0
199297	0.0	0.0	0.0	0.0	0.0
199298	0.0	0.0	0.0	0.0	0.0
199299	0.0	0.0	0.0	0.0	0.0
199300	0.0	0.0	0.0	0.0	0.0
199301	0.0	0.0	0.0	0.0	0.0
199302	0.0	0.0	0.0	0.0	0.0
199303	0.0	0.0	0.0	0.0	0.0
199304	0.0	0.0	0.0	0.0	0.0
199305	0.0	0.0	0.0	0.0	0.0
199306	0.0	0.0	0.0	0.0	0.0
199307	0.0	0.0	0.0	0.0	0.0
199308	0.0	0.0	0.0	0.0	0.0
199309	0.0	0.0	0.0	0.0	0.0
199310	0.0	0.0	0.0	0.0	0.0
199311	0.0	0.0	0.0	0.0	0.0
199312	0.0	0.0	0.0	0.0	0.0
199313	0.0	0.0	0.0	0.0	0.0
199314	0.0	0.1602972399150743	0.25690021231422505	0.1602972399150743	0.22399150743099788
199315	0.0	0.0	0.0	0.0	0.0
199316	0.0	0.0	0.0	0.0	0.0
199317	0.0	0.0	0.0736944851146901	0.0	0.1903367496339678
199318	0.0	0.0	0.0	0.0	0.0992767915844839
199319	0.0	0.0	0.0	0.0	0.0
199320	0.0	0.2649122807017544	0.0	0.0	0.0
199321	0.0	0.13141862489120976	0.0	0.0	0.17580504786771106
199322	0.0	0.0	0.0	0.0	0.0
199323	0.0	0.0	0.0	0.0	0.0
199324	0.0	0.0	0.0	0.0695142378559464	0.06323283082077052
199325	0.0	0.0	0.0	0.0	0.0
199326	0.0	0.0	0.0	0.0	0.0
199327	0.0	0.0	0.0	0.0	0.0
199328	0.0	0.0	0.0	0.0	0.0
199329	0.0723589001447178	0.04124457308248915	0.04703328509406657	0.04124457308248915	0.0
199330	0.0	0.0	0.0	0.0	0.0
199331	0.0	0.0	0.0	0.0	0.0
199332	0.0	0.05254001391788448	0.058107167710508	0.0	0.0
199333	0.0	0.0	0.0	0.0	0.0
199334	0.0	0.0	0.0	0.0	0.0
199335	0.0	0.0	0.0	0.0	0.0
199336	0.0	0.0	0.0	0.0	0.0
199337	0.0	0.0	0.0	0.0	0.0
199338	0.12368972746331237	0.13696715583508037	0.44654088050314467	0.13417190775681342	0.14605171208944795
199339	0.0	0.0	0.0	0.0	0.0
199340	0.12324234904880066	0.12241521918941274	0.0	0.0	0.5624483043837882
199341	0.0	0.0	0.0	0.0	0.0
199342	0.0	0.0	0.0	0.0	0.0
199343	0.0	0.0	0.0	0.0	0.0
199344	0.1280746395250212	0.18829516539440203	0.30788804071246817	0.2544529262086514	0.33672603901611536
199345	0.0	0.0	0.0	0.0	0.0
199346	0.0	0.0	0.0	0.0	0.0
199347	0.0	0.0	0.0	0.0	0.0
199348	0.0	0.0	0.0	0.0	0.0
199349	0.0	0.0	0.0	0.0	0.0
199350	0.0	0.0	0.0	0.0	0.0
199351	0.0	0.0	0.0	0.0	0.0
199352	0.0	0.0	0.0	0.0	0.0
199353	0.0	0.0	0.0	0.0	0.0
199354	0.0	0.0	0.0	0.0	0.0
199355	0.19343229869545658	0.07422402159244265	0.08187134502923976	0.0	0.0
199356	0.0	0.0	0.0	0.0	0.0
199357	0.0	0.0	0.0	0.0	0.0
199358	0.0	0.0	0.0	0.0	0.0
199359	0.0	0.0	0.0	0.0	0.0973565441650548
199360	0.0	0.0	0.0	0.0	0.0
199361	0.0	0.0	0.0	0.0	0.0
199362	0.0	0.0	0.0	0.0	0.0
199363	0.0	0.0	0.0	0.0	0.0
199364	0.0	0.0	0.0	0.0	0.0
199365	0.0	0.0	0.0	0.0	0.0
199366	0.0	0.0	0.0	0.0	0.0
199367	0.0	0.0	0.0	0.0	0.0
199368	0.0	0.0	0.0	0.0	0.0
199369	0.0	0.0	0.0	0.0	0.0
199370	0.0	0.0	0.0	0.0	0.0
199371	0.0	0.0	0.0	0.0	0.0
199372	0.0	0.0	0.0	0.0	0.0
199373	0.0	0.0	0.0	0.0	0.0
199374	0.0	0.0	0.0	0.0	0.0944527736131934
199375	0.0	0.0	0.0	0.0	0.0
199376	0.0	0.0	0.0	0.0	0.0
199377	0.0	0.0	0.0	0.0	0.0
199378	0.0	0.0	0.0	0.0	0.0
199379	0.0	0.0	0.0	0.0	0.0
199380	0.0	0.0	0.0	0.0	0.0
199381	0.0	0.0	0.0	0.0	0.0
199382	0.0	0.0	0.0	0.0	0.0
199383	0.0	0.0	0.0	0.0	0.0
199384	0.0	0.0	0.0	0.0	0.0
199385	0.0	0.0	0.3083735909822866	0.12077294685990338	0.4613526570048309
199386	0.0	0.0	0.0	0.0	0.0
199387	0.0	0.0	0.0	0.0	0.0
199388	0.0	0.0	0.0	0.0	0.0
199389	0.0	0.0	0.0	0.0	0.0
199390	0.0	0.0	0.0	0.0	0.0
199391	0.08814944541739637	0.0	0.1290134267367192	0.29363689433741974	0.38762405137186223
199392	0.0	0.0	0.0	0.0	0.0
199393	0.0	0.0	0.0	0.0	0.0
199394	0.0	0.0	0.0	0.0	0.0
199395	0.0	0.0	0.0	0.0	0.0
199396	0.0	0.0	0.0	0.0	0.0
199397	0.0	0.14339981006647673	0.0	0.19278252611585944	0.14339981006647673
199398	0.0	0.0	0.0	0.0	0.0
199399	0.0	0.0	0.0	0.0	0.0
199400	0.0	0.0	0.0	0.0	0.0
199401	0.0	0.0	0.0	0.0	0.0
199402	0.0	0.0	0.0	0.0	0.0
199403	0.0	0.0	0.0	0.0	0.0
199404	0.0	0.0	0.0	0.0	0.0
199405	0.0	0.0	0.0	0.0	0.0
199406	0.0	0.0	0.0	0.0	0.0
199407	0.0	0.08892815076560659	0.0	0.0	0.0
199408	0.19038817005545286	0.12138016019716574	0.12014787430683918	0.0	0.403573629081947
199409	0.0	0.0	0.0	0.0	0.0
199410	0.0	0.0	0.0	0.0	0.0
199411	0.0	0.0	0.0	0.0	0.0
199412	0.0	0.0	0.0	0.0	0.0
