gene_callers_id	FAGR_M16	FAGR_M17	FAGR_M18	FAGR_M19	FAGR_M20
40082	0.0	0.0	0.0	0.0	0.0
40083	0.0	0.0	0.0	0.0	0.0
40084	0.0	0.0	0.0	0.0	0.0
40085	0.0	0.0	0.0	0.0	0.0
40086	0.0	0.0	0.0	0.0	0.0
40087	0.0	0.0	0.0	0.0	0.0
40088	0.0	0.0	0.0	0.0	0.0
40089	0.0	0.0	0.0	0.0	0.0
40090	0.0	0.0	0.0	0.0	0.0
40091	0.0	0.0	0.0	0.0	0.0
40092	0.0	0.0	0.0	0.0	0.0
40093	0.0	0.0	0.0	0.0	0.0
40094	0.0	0.0	0.0	0.0	0.0
40095	0.0	0.0	0.0	0.0	0.0
40096	0.0	0.0	0.0	0.0	0.0
40097	0.0	0.0	0.0	0.0	0.0
40098	0.0	0.0	0.0	0.0	0.0
40099	0.0	0.0	0.0	0.0	0.0
40100	0.0	0.0	0.0	0.0	0.0
40101	0.0	0.0	0.0	0.0	0.0
40102	0.0	0.0	0.0	0.08105206655931294	0.0
40103	0.0	0.0	0.0	0.0	0.0
40104	0.0	0.0	0.0	0.0	0.0
40105	0.0	0.0	0.0	0.0	0.0
40106	0.0	0.0	0.0	0.0	0.0
40107	0.0	0.0	0.0	0.0	0.0
40108	0.0	0.0	0.0	0.0	0.0
40109	0.0	0.0	0.0	0.0	0.0
40110	0.0	0.0	0.0	0.0	0.0
40111	0.0	0.0	0.0	0.0	0.0
40112	0.0	0.0	0.0	0.0	0.0
40113	0.4765694076038904	0.3890362511052166	0.0	0.40229885057471265	0.0
40114	0.0	0.02789400278940028	0.0	0.0	0.0
40115	0.5046948356807511	0.0	0.0	0.0	0.0
40116	0.4621959237343853	0.4556213017751479	0.39316239316239315	0.44115713346482577	0.38330046022353714
40117	0.0	0.0	0.0	0.0	0.0
40118	0.11843137254901961	0.0	0.0	0.0	0.0
40119	0.0	0.0	0.0	0.0	0.0
40120	0.0	0.0	0.0	0.0	0.0
40121	0.0	0.0	0.0	0.0	0.0
40122	0.10843373493975904	0.20214190093708165	0.23493975903614459	0.3032128514056225	0.09571619812583668
40123	0.0	0.0	0.0	0.0	0.0
40124	0.0	0.0	0.0	0.0	0.0
40125	0.0	0.0	0.0	0.0	0.0
40126	0.0	0.0	0.0	0.0	0.0
40127	0.0	0.0	0.0	0.0	0.0
40128	0.0	0.0	0.0	0.0	0.0
40129	0.380218368657675	0.35581245985870263	0.39948619139370584	0.4071933204881182	0.4245343609505459
40130	0.0	0.0	0.0	0.0	0.0
40131	0.0	0.0	0.0	0.0	0.0
40132	0.0	0.0	0.0	0.0	0.0
40133	0.0	0.0	0.0	0.0	0.0
40134	0.0	0.0	0.0	0.0	0.0
40135	0.0	0.0	0.0	0.0	0.0
40136	0.0	0.0	0.0	0.0	0.0
40137	0.0	0.0	0.0	0.0	0.0
40138	0.0	0.0	0.0	0.0	0.0
40139	0.0	0.0	0.0	0.0	0.0
40140	0.0	0.10127431254191818	0.10127431254191818	0.0	0.0
40141	0.0	0.0	0.0	0.0	0.0
