gene_callers_id	FAGR_M16	FAGR_M17	FAGR_M18	FAGR_M19	FAGR_M20
44511	0.0	0.44569288389513106	0.0	0.0	0.0
44512	0.0	0.0	0.0	0.0	0.0
44513	0.3746898263027295	0.0	0.12489660876757651	0.749379652605459	0.0
44514	0.0	0.0	0.0	0.0	0.2868217054263566
44515	0.0	0.1935897435897436	0.0	0.0	0.0
44516	0.06857402361489555	0.1371480472297911	0.0	0.0	0.0
44517	0.0	0.0	0.0	0.0	0.0
44518	0.0	0.0	0.0	0.0	0.0
44519	0.5703493862134089	0.0	0.0	0.0	0.28517469310670446
44520	0.0	0.0	0.0	0.0	0.0
44521	0.0	0.24825318536785862	0.0	0.0	0.0
44522	0.0	0.0	0.0	0.0	0.0
44523	0.0	0.0	0.0	0.0	0.0
44524	0.0	0.0	0.0	0.0	0.0
44525	0.0	0.0	0.0	0.0	0.0
44526	0.0	0.0	0.0	0.0	0.0
44527	0.0	0.0	0.0	0.0	0.0
44528	0.0	0.0	0.0	0.0	0.0
44529	0.3973684210526316	0.9254385964912281	0.6622807017543859	0.2649122807017544	0.0
44530	0.0	0.0	0.0	0.0	0.0
44531	0.0	0.0	0.0	0.0	0.0
44532	0.0	0.0	0.0	0.0	0.0
44533	0.0	0.0	0.0	0.0	0.0
44534	0.0	0.0	0.0	0.0	0.0
44535	0.0	0.0	0.0	0.0	0.0
44536	0.0	0.0	0.0	0.0	0.0
44537	0.8053333333333333	0.0	0.0	0.0	0.0
44538	0.0	0.0	0.0	0.0	0.0
44539	0.0	0.0	0.0	0.0	0.0
44540	0.0	0.0	0.0	0.0	0.0
44541	0.0	0.0	0.0	0.0	0.0
44542	0.44935543278084716	0.45610804174340086	0.27808471454880296	0.2719459791282996	0.5506445672191529
44543	0.0	0.0	0.0	0.0	0.0
44544	0.0	0.0	0.0	0.0	0.0
44545	0.0	0.0	0.0	0.0	0.0
44546	1.6152024117140396	1.5598621877691645	1.1375968992248062	1.0071059431524547	0.9097760551248923
44547	0.0	0.0	0.0	0.0	0.0
44548	0.0	0.0	0.0	0.0	0.0
44549	0.0	0.25356842989084805	0.0	0.0	0.0
44550	0.0	0.15206445115810674	0.0	0.0	0.0
44551	0.6942528735632184	0.1735632183908046	0.0	0.0	0.1735632183908046
44552	0.0	0.0	0.0	0.0	0.0
44553	0.0	0.0	0.42296918767507	0.0	0.0
44554	0.0	0.0	0.0	0.0	0.0
44555	0.0	0.0	0.0	0.0	0.0
44556	0.0	0.0	0.0	0.0	0.0
44557	0.0	0.0	0.0	0.0	0.0
44558	0.0	0.0	0.0	0.0	0.0
44559	0.0	0.0	0.0	0.0	0.0
44560	0.0	0.0	0.0	0.0	0.0
44561	0.0	0.0	0.0	0.0	0.0
44562	0.0	0.0	0.0	0.0	0.0
44563	0.0	0.0	0.0	0.0	0.0
44564	0.0	0.0	0.0	0.0	0.0
44565	0.0	1.3926218708827405	0.0	0.0	0.0
44566	0.203778677462888	0.407557354925776	0.0	1.0053981106612686	0.0
44567	0.0	0.0	0.0	0.0	1.464696223316913
44568	0.0	0.5101351351351351	0.0	0.3400900900900901	0.0
44569	0.1529888551165147	0.0	0.0	0.1529888551165147	0.0
44570	0.0	0.0	0.0	0.0	0.0
44571	0.0	0.0	0.0	0.0	0.0
44572	0.0	0.0	0.0	0.0	0.0
44573	0.0	0.0	0.0	0.0	0.0
44574	0.0	0.0	0.0	0.0	0.0
44575	0.0	0.0	0.0	0.0	0.0
44576	0.0	0.0	0.0	0.0	0.0
