gene_callers_id	FAGR_M16	FAGR_M17	FAGR_M18	FAGR_M19	FAGR_M20
99246	0.1271043771043771	0.0	0.0	0.0	0.0
99247	0.0	0.0	0.0	0.0	0.0
99248	0.19368723098995697	0.28598756575801054	0.20516499282639886	0.1836441893830703	0.1912960306073649
99249	0.0	0.0	0.0	0.0	0.0
99250	0.0	0.0	0.19289044289044288	0.0	0.2202797202797203
99251	0.0	0.0	0.0	0.0	0.0
99252	0.0	0.0	0.0	0.0	0.0
99253	0.0	0.0	0.0	0.0	0.0
99254	0.0	0.0	0.0	0.0	0.0
99255	0.0	0.0	0.0	0.0	0.0
99256	0.0	0.0	0.0	0.0	0.0
99257	0.0	0.10066666666666667	0.0	0.0	0.0
99258	0.0	0.0	0.0	0.0	0.0
99259	0.0	0.0	0.0	0.0	0.0
99260	0.0	0.0	0.0	0.0	0.0
99261	0.0	0.0	0.0	0.0	0.0
99262	0.0	0.0	0.0	0.0	0.0
99263	0.0	0.0	0.0	0.0	0.0
99264	0.0	0.0	0.0	0.0	0.0
99265	0.0	0.0	0.0	0.0	0.0
99266	0.0	0.0	0.0	0.0	0.0
99267	0.0	0.0	0.0	0.0	0.0
99268	0.0	0.0	0.0	0.0	0.0
99269	0.0	0.0	0.0	0.0	0.0
99270	0.0	0.0	0.0	0.0	0.0
99271	0.0	0.0	0.0	0.0	0.0
99272	0.0	0.0	0.0	0.0	0.0
99273	0.0	0.0	0.0	0.0	0.0
99274	0.0	0.0	0.0	0.0	0.0
99275	0.0	0.0	0.0	0.0	0.0
99276	0.0	0.0	0.0	0.0	0.0
99277	0.0	0.0	0.0	0.0	0.0
99278	0.0	0.0	0.0	0.0	0.0
99279	0.0	0.0	0.0	0.0	0.0
99280	0.0	0.0	0.0	0.0	0.0
99281	0.0	0.0	0.0	0.0	0.0
99282	0.0	0.0	0.0	0.0	0.0
99283	0.0	0.0	0.0	0.0	0.0
99284	0.0	0.0	0.0	0.0	0.0
99285	0.0	0.0	0.0	0.0	0.0
99286	0.0	0.0	0.0	0.0	0.0
99287	0.0	0.0	0.0	0.0	0.0
99288	0.0	0.0	0.0	0.0	0.0
99289	0.0	0.0	0.0	0.0	0.0
99290	0.0	0.0	0.0	0.0	0.0
99291	0.0	0.0	0.0	0.0	0.0
99292	0.0	0.16947250280583614	0.0	0.16947250280583614	0.0
99293	0.0	0.0	0.0	0.0	0.0
99294	0.0	0.0	0.0	0.0	0.0
99295	0.0	0.0	0.0	0.0	0.0
99296	0.0	0.0	0.0	0.0	0.0
99297	0.0	0.0	0.0	0.0	0.0
99298	0.0	0.0	0.0	0.0	0.0
99299	0.0	0.0	0.0	0.0	0.0
99300	0.0	0.0	0.0	0.0	0.0
99301	0.0	0.0	0.0	0.0	0.0
99302	0.0	0.0	0.0	0.0	0.0
99303	0.0	0.0	0.0	0.0	0.0
99304	0.0	0.0	0.0	0.0	0.0
99305	0.0	0.0	0.0	0.0	0.0
99306	0.0	0.0	0.0	0.0	0.0
99307	0.0	0.0	0.0	0.0	0.0
99308	0.0	0.0	0.0	0.0	0.0
