gene_callers_id	FAGR_M16	FAGR_M17	FAGR_M18	FAGR_M19	FAGR_M20
199186	0.0	0.0	0.0	0.0	0.0
199187	0.0	0.0	0.0	0.0	0.0
199188	0.0	0.0	0.0	0.0	0.0
199189	0.0	0.0	0.13458110516934046	0.0	0.0
199190	0.0	0.0	0.0	0.0	0.0
199191	0.0	0.0	0.0	0.0	0.0
199192	0.0	0.0	0.0	0.0	0.0
199193	0.0	0.0	0.0	0.0	0.0
199194	0.0	0.0	0.0	0.0	0.0
199195	0.0	0.0	0.0	0.0	0.0
199196	0.27133872416891286	1.2879604672057503	1.2861635220125787	0.33782569631626236	0.47349505840071876
199197	0.0	0.6371308016877637	0.6371308016877637	0.0	0.0
199198	0.0	0.0	0.0	0.0	0.0
199199	0.0	0.0	0.0	0.0	0.0
199200	0.0	0.0	0.0	0.0	0.0
199201	0.0	0.0	0.0	0.0	0.0
199202	0.0	0.0	0.0	0.0	0.0
199203	0.0	0.0	0.0	0.0	0.0
199204	0.0	0.05265030238349342	0.0	0.0	0.0
199205	0.5447330447330447	1.6226551226551227	0.5281385281385281	1.743145743145743	0.7626262626262627
199206	0.0	0.0	0.0	0.0	0.0
199207	0.0	0.0	0.0	0.0	0.0
199208	0.0	0.0	0.0	0.0	0.0
199209	0.0	0.0	0.0	0.0	0.0
199210	0.0	0.0	0.0	0.0	0.0
199211	0.0	0.0	0.0	0.0	0.0
199212	0.0	0.0	0.0	0.0	0.0
199213	0.0	0.0	0.0	0.0	0.0
199214	0.0	0.0	0.0	0.0	0.0
199215	0.0	0.0	0.0	0.0	0.0
199216	0.0	0.0	0.0	0.0	0.0
199217	0.0	0.0	0.0	0.0	0.0
199218	0.0	0.0	0.0	0.0	0.0
199219	0.0	0.0	0.0	0.0	0.0
199220	0.0	0.0	0.0	0.0	0.0
199221	0.0	0.0	0.0	0.0	0.0
199222	0.0	0.0	0.0	0.0	0.0
199223	0.0	0.0	0.0	0.0	0.0
199224	0.0	0.0	0.0	0.0	0.0
199225	0.19894598155467721	0.0	0.0	0.0	0.0
199226	0.0	0.0	0.0	0.0	0.0
199227	0.0	0.0	0.0	0.0	0.0
199228	0.0	0.0	0.0	0.0	0.0
199229	0.0	0.0	0.0	0.0	0.0
199230	0.0	0.0	0.0	0.0	0.0
199231	0.0	0.0	0.0	0.0	0.0
199232	0.0	0.0	0.0	0.0	0.0
199233	0.0	0.0	0.0	0.0	0.0
199234	0.0	0.0	0.0	0.0	0.0
199235	0.0	0.0	0.0	0.0	0.0
199236	0.0	0.0	0.0	0.0	0.0
199237	0.0	0.0	0.0	0.0	0.0
199238	0.0	0.0	0.0	0.0	0.0
199239	0.0	0.0	0.0	0.0	0.0
199240	0.0	0.0	0.0	0.0	0.0
199241	0.31262939958592134	1.2380952380952381	0.31262939958592134	1.2505175983436854	1.5486542443064182
199242	0.0	0.28040854224698236	0.0	0.0	0.14020427112349118
199243	0.5471014492753623	1.7780797101449275	2.7300724637681157	1.9139492753623188	0.41032608695652173
199244	0.0	0.0	0.0	0.0	0.0
199245	0.0	0.0	0.3032128514056225	0.0	0.0
199246	0.0	0.0	0.0	0.0	0.0
199247	0.0	0.0	0.0	0.0	0.0
199248	0.0	0.0	0.0	0.0	0.0
199249	0.0	0.0	0.11899133175728921	0.0	0.0
199250	0.0	0.0	0.0	0.0	0.0
199251	0.0	0.0	0.0	0.0	0.0
199252	0.0	0.0	0.0	0.0	0.0
199253	0.0	0.0	0.0	0.0	0.0
199254	0.0	0.0	0.0	0.0	0.0
199255	0.0	0.0	0.0	0.2001325381047051	0.0
199256	0.0	0.0	0.412568306010929	0.2062841530054645	0.0
199257	0.0	0.0	0.0	0.0	0.0
199258	0.0	0.0	0.0	0.0	0.0
199259	0.0	0.0	0.0	0.0	0.0
199260	0.0	0.0	0.0	0.0	0.0
199261	0.0	0.0	0.0	0.0	0.0
199262	0.0	0.0	0.0	0.0	0.0
199263	0.0	0.0	0.0	0.0	0.0
199264	0.0	0.0	0.0	0.0	0.0
199265	0.0	0.0	0.0	0.0	0.0
199266	0.0	0.0	0.0	0.0	0.0
199267	0.0	0.0	0.0	0.0	0.0
199268	0.0	0.0	0.0	0.0	0.0
199269	0.0	0.0	0.0	0.0	0.0
199270	0.0	0.0	0.0	0.0	0.0
199271	0.0	0.0	0.0	0.0	0.0
199272	0.0	0.0	0.0	0.0	0.0
199273	0.0	0.0	0.0	0.0	0.0
199274	0.0	0.0	0.0	0.0	0.0
199275	0.0	0.0	0.0	0.0	0.0
199276	0.0	0.0	0.0	0.0	0.0
199277	0.0	0.0	0.0	0.0	0.0
199278	0.0	0.0	0.0	0.0	0.0
199279	0.0	0.0	0.0	0.0	0.0
199280	0.0	0.0	0.0	0.0	0.0
199281	0.1302785265049416	0.0	0.0	0.20350404312668463	0.0651392632524708
199282	0.0	0.0	0.0	0.0	0.0
199283	0.0	0.0	0.0	0.04789089755788138	0.14367269267364416
199284	0.0	0.0	0.0	0.0	0.0
199285	0.0	0.0	0.0	0.0	0.0
199286	0.0	0.0	0.0	0.0	0.0
199287	0.0	0.0	0.0	0.0	0.0
199288	0.0	0.0	0.0	0.0	0.0
199289	0.0	0.0	0.0	0.018666666666666668	0.0
199290	0.0	0.0	0.0	0.3893333333333333	0.0
199291	0.0	0.0	0.0	0.0	0.0
199292	0.0	0.0	0.0	0.0	0.0
199293	0.0	0.0	0.0	0.0	0.0
199294	0.09587301587301587	0.0	0.0	0.0	0.0
199295	0.0	0.0	0.0	0.0	0.0
199296	0.0	0.0	0.0	0.0	0.0
199297	0.0	0.0	0.0	0.0	0.0
199298	0.0	0.0	0.0	0.0	0.0
199299	0.0	0.0	0.33114035087719296	0.0	0.0
199300	0.0	0.0	0.0	0.0	0.0
199301	0.0	0.0	0.0	0.0	0.0
199302	0.0	0.0	0.0	0.0	0.0
199303	0.0	0.0	0.0	0.0	0.0
199304	0.0	0.0	0.0	0.0	0.0
199305	0.0	0.0	0.0	0.0	0.0
199306	0.0	0.0	0.0	0.0	0.0
199307	0.0	0.0	0.0	0.0	0.0
199308	0.0	0.0	0.0	0.0	0.0
199309	0.0	0.0	0.0	0.0	0.0
199310	0.0	0.0	0.0	0.0	0.0
199311	0.0	0.0	0.0	0.0	0.0
199312	0.0	0.0	0.0	0.0	0.0
199313	0.0	0.0	0.0	0.0	0.0
199314	0.0	0.0	0.0	0.0	0.0
199315	0.0	0.0	0.0	0.0	0.0
199316	0.0	0.0	0.0	0.0	0.0
199317	0.0	0.0	0.0	0.0	0.0
199318	0.0	0.0	0.0	0.0	0.0
199319	0.0	0.0	0.0	0.0	0.0
199320	0.0	0.0	0.0	0.0	0.0
199321	0.0	0.0	0.0	0.13141862489120976	0.0
199322	0.0	0.0	0.0	0.0	0.0
199323	0.0	0.0	0.0	0.0	0.0
199324	0.0	0.0	0.0	0.0	0.0
199325	0.0	0.0	0.0	0.0	0.0
199326	0.0	0.0	0.0	0.0	0.0
199327	0.0	0.0	0.0	0.0	0.0
199328	0.0	0.0	0.0	0.0	0.0
199329	0.07284129281234925	0.0	0.0	0.0	0.0
199330	0.0	0.0	0.0	0.0	0.0
199331	0.0	0.0	0.0	0.0	0.0
199332	0.0	0.0	0.0	0.0	0.0
199333	0.0	0.0	0.0	0.0	0.0
199334	0.0	0.0	0.0	0.0	0.0
199335	0.0	0.0	0.0	0.0	0.0
199336	0.0	0.0	0.0	0.0	0.0
199337	0.0	0.0	0.0	0.0	0.0
199338	0.8420684835779175	0.5262054507337526	1.4758909853249476	1.1572327044025157	2.106918238993711
199339	0.0	0.0	0.0	0.0	0.0
199340	0.0	0.12489660876757651	0.0	0.49958643507030603	0.0
199341	0.0	0.0	0.0	0.0	0.0
199342	0.0	0.0	0.0	0.0	0.0
199343	0.0	0.0	0.0	0.0	0.0
199344	1.1526717557251909	1.7913486005089059	1.0245971162001697	0.7684478371501272	1.786259541984733
199345	0.0	0.0	0.0	0.0	0.0
199346	0.0	0.0	0.0	0.0	0.0
199347	0.0	0.0	0.0	0.0	0.0
199348	0.0	0.0	0.0	0.0	0.0
199349	0.0	0.0	0.0	0.0	0.0
199350	0.0	0.0	0.0	0.0	0.0
199351	0.0	0.0	0.0	0.0	0.0
199352	0.0	0.0	0.0	0.0	0.0
199353	0.0	0.0	0.0	0.0	0.0
199354	0.0	0.0	0.0	0.0	0.0
199355	0.13585245164192533	0.0	0.06792622582096267	0.13585245164192533	0.0
199356	0.0	0.0	0.0	0.0	0.0
199357	0.0	0.0	0.0	0.0	0.0
199358	0.0	0.0	0.0	0.0	0.0
199359	0.0	0.0	0.0	0.0	0.0
199360	0.0	0.0	0.0	0.0	0.0
199361	0.0	0.0	0.0	0.0	0.0
199362	0.0	0.0	0.0	0.0	0.0
199363	0.0	0.0	0.0	0.0	0.0
199364	0.0	0.0	0.0	0.0	0.0
199365	0.0	0.0	0.0	0.0	0.0
199366	0.0	0.0	0.0	0.0	0.0
199367	0.0	0.0	0.0	0.0	0.0
199368	0.0	0.0	0.0	0.0	0.0
199369	0.0	0.0	0.0	0.0	0.0
199370	0.0	0.0	0.0	0.0	0.0
199371	0.0	0.0	0.0	0.0	0.0
199372	0.0	0.0	0.0	0.0	0.0
199373	0.0	0.0	0.0	0.0	0.0
199374	0.0	0.0	0.0	0.0	0.0
199375	0.0	0.0	0.0	0.0	0.0
199376	0.0	0.0	0.0	0.0	0.0
199377	0.0	0.0	0.0	0.0	0.0
199378	0.0	0.0	0.0	0.0	0.0
199379	0.0	0.0	0.0	0.0	0.0
199380	0.0	0.0	0.0	0.0	0.0
199381	0.0	0.0	0.0	0.0	0.0
199382	0.0	0.0	0.0	0.0	0.0
199383	0.0	0.0	0.0	0.0	0.0
199384	0.0	0.0	0.0	0.0	0.0
199385	0.1215780998389694	0.607085346215781	0.1215780998389694	0.1215780998389694	0.0
199386	0.0	0.0	0.0	0.0	0.0
199387	0.0	0.0	0.0	0.0	0.0
199388	0.0	0.0	0.0	0.0	0.0
199389	0.0	0.0	0.0	0.0	0.0
199390	0.0	0.0	0.0	0.0	0.0
199391	1.4985405720957385	0.2632807939287799	0.3525977816695855	0.5288966725043783	0.26444833625218916
199392	0.0	0.0	0.0	0.0	0.0
199393	0.0	0.0	0.0	0.0	0.0
199394	0.0	0.0	0.0	0.0	0.0
199395	0.0	0.0	0.0	0.0	0.0
199396	0.0	0.0	0.0	0.0	0.0
199397	0.0	0.14339981006647673	0.0	0.0	0.0
199398	0.0	0.0	0.0	0.0	0.0
199399	0.0	0.0	0.0	0.0	0.0
199400	0.0	0.0	0.0	0.0	0.0
199401	0.0	0.0	0.0	0.0	0.0
199402	0.0	0.0	0.0	0.0	0.0
199403	0.0	0.0	0.0	0.0	0.0
199404	0.0	0.0	0.0	0.0	0.0
199405	0.0	0.0	0.0	0.0	0.0
199406	0.0	0.0	0.0	0.0	0.0
199407	0.0	0.0	0.0	0.0	0.0
199408	0.09303758471965495	0.1860751694393099	0.09303758471965495	0.09303758471965495	0.1860751694393099
199409	0.0	0.0	0.0	0.0	0.0
199410	0.0	0.0	0.0	0.0	0.0
199411	0.0	0.0	0.0	0.0	0.0
199412	0.0	0.0	0.0	0.0	0.0
199413	0.0	0.0	0.0	0.0	0.0
199414	0.0	0.0	0.0	0.0	0.0
199415	0.0	0.0	0.0	0.0	0.0
199416	0.0	0.0	0.0	0.0	0.0
199417	0.0	0.0	0.0	0.0	0.0
199418	0.0	0.0	0.0	0.0	0.0
199419	0.0	0.0	0.0	0.0	0.0
199420	0.0	0.0	0.0	0.0	0.0
199421	0.0	0.0	0.0	0.0	0.0
