gene_callers_id	FAGR_M16	FAGR_M17	FAGR_M18	FAGR_M19	FAGR_M20
199186	0.0	0.0	0.0	0.0	0.0
199187	0.0	0.0	0.0	0.0	0.0
199188	0.0	0.0	0.0	0.0	0.0
199189	0.0	0.0	0.13458110516934046	0.0	0.0
199190	0.0	0.0	0.0	0.0	0.0
199191	0.0	0.0	0.0	0.0	0.0
199192	0.0	0.0	0.0	0.0	0.0
199193	0.0	0.0	0.0	0.0	0.0
199194	0.0	0.0	0.0	0.0	0.0
199195	0.0	0.0	0.0	0.0	0.0
199196	0.14240790655884997	0.21428571428571427	0.19092542677448338	0.15363881401617252	0.11994609164420485
199197	0.0	0.6371308016877637	0.6371308016877637	0.0	0.0
199198	0.0	0.0	0.0	0.0	0.0
199199	0.0	0.0	0.0	0.0	0.0
199200	0.0	0.0	0.0	0.0	0.0
199201	0.0	0.0	0.0	0.0	0.0
199202	0.0	0.0	0.0	0.0	0.0
199203	0.0	0.0	0.0	0.0	0.0
199204	0.0	0.05265030238349342	0.0	0.0	0.0
199205	0.2474747474747475	0.29797979797979796	0.13347763347763347	0.3268398268398268	0.1717171717171717
199206	0.0	0.0	0.0	0.0	0.0
199207	0.0	0.0	0.0	0.0	0.0
199208	0.0	0.0	0.0	0.0	0.0
199209	0.0	0.0	0.0	0.0	0.0
199210	0.0	0.0	0.0	0.0	0.0
199211	0.0	0.0	0.0	0.0	0.0
199212	0.0	0.0	0.0	0.0	0.0
199213	0.0	0.0	0.0	0.0	0.0
199214	0.0	0.0	0.0	0.0	0.0
199215	0.0	0.0	0.0	0.0	0.0
199216	0.0	0.0	0.0	0.0	0.0
199217	0.0	0.0	0.0	0.0	0.0
199218	0.0	0.0	0.0	0.0	0.0
199219	0.0	0.0	0.0	0.0	0.0
199220	0.0	0.0	0.0	0.0	0.0
199221	0.0	0.0	0.0	0.0	0.0
199222	0.0	0.0	0.0	0.0	0.0
199223	0.0	0.0	0.0	0.0	0.0
199224	0.0	0.0	0.0	0.0	0.0
199225	0.09947299077733861	0.0	0.0	0.0	0.0
199226	0.0	0.0	0.0	0.0	0.0
199227	0.0	0.0	0.0	0.0	0.0
199228	0.0	0.0	0.0	0.0	0.0
199229	0.0	0.0	0.0	0.0	0.0
199230	0.0	0.0	0.0	0.0	0.0
199231	0.0	0.0	0.0	0.0	0.0
199232	0.0	0.0	0.0	0.0	0.0
199233	0.0	0.0	0.0	0.0	0.0
199234	0.0	0.0	0.0	0.0	0.0
199235	0.0	0.0	0.0	0.0	0.0
199236	0.0	0.0	0.0	0.0	0.0
199237	0.0	0.0	0.0	0.0	0.0
199238	0.0	0.0	0.0	0.0	0.0
199239	0.0	0.0	0.0	0.0	0.0
199240	0.0	0.0	0.0	0.0	0.0
199241	0.31262939958592134	0.31262939958592134	0.31262939958592134	0.32712215320910976	0.33954451345755693
199242	0.0	0.14020427112349118	0.0	0.0	0.14020427112349118
199243	0.32155797101449274	0.4701086956521739	0.39402173913043476	0.3967391304347826	0.26902173913043476
199244	0.0	0.0	0.0	0.0	0.0
199245	0.0	0.0	0.15160642570281124	0.0	0.0
199246	0.0	0.0	0.0	0.0	0.0
199247	0.0	0.0	0.0	0.0	0.0
199248	0.0	0.0	0.0	0.0	0.0
199249	0.0	0.0	0.11899133175728921	0.0	0.0
199250	0.0	0.0	0.0	0.0	0.0
199251	0.0	0.0	0.0	0.0	0.0
199252	0.0	0.0	0.0	0.0	0.0
199253	0.0	0.0	0.0	0.0	0.0
199254	0.0	0.0	0.0	0.0	0.0
199255	0.0	0.0	0.0	0.1709741550695825	0.0
199256	0.0	0.0	0.2062841530054645	0.2062841530054645	0.0
199257	0.0	0.0	0.0	0.0	0.0
199258	0.0	0.0	0.0	0.0	0.0
199259	0.0	0.0	0.0	0.0	0.0
199260	0.0	0.0	0.0	0.0	0.0
199261	0.0	0.0	0.0	0.0	0.0
199262	0.0	0.0	0.0	0.0	0.0
199263	0.0	0.0	0.0	0.0	0.0
199264	0.0	0.0	0.0	0.0	0.0
199265	0.0	0.0	0.0	0.0	0.0
199266	0.0	0.0	0.0	0.0	0.0
199267	0.0	0.0	0.0	0.0	0.0
199268	0.0	0.0	0.0	0.0	0.0
199269	0.0	0.0	0.0	0.0	0.0
199270	0.0	0.0	0.0	0.0	0.0
199271	0.0	0.0	0.0	0.0	0.0
199272	0.0	0.0	0.0	0.0	0.0
199273	0.0	0.0	0.0	0.0	0.0
199274	0.0	0.0	0.0	0.0	0.0
199275	0.0	0.0	0.0	0.0	0.0
199276	0.0	0.0	0.0	0.0	0.0
199277	0.0	0.0	0.0	0.0	0.0
199278	0.0	0.0	0.0	0.0	0.0
199279	0.0	0.0	0.0	0.0	0.0
199280	0.0	0.0	0.0	0.0	0.0
199281	0.06828391734052111	0.0	0.0	0.1518418688230009	0.0651392632524708
199282	0.0	0.0	0.0	0.0	0.0
199283	0.0	0.0	0.0	0.04789089755788138	0.09705042816365367
199284	0.0	0.0	0.0	0.0	0.0
199285	0.0	0.0	0.0	0.0	0.0
199286	0.0	0.0	0.0	0.0	0.0
199287	0.0	0.0	0.0	0.0	0.0
199288	0.0	0.0	0.0	0.0	0.0
199289	0.0	0.0	0.0	0.018666666666666668	0.0
199290	0.0	0.0	0.0	0.2653333333333333	0.0
199291	0.0	0.0	0.0	0.0	0.0
199292	0.0	0.0	0.0	0.0	0.0
199293	0.0	0.0	0.0	0.0	0.0
199294	0.08222222222222222	0.0	0.0	0.0	0.0
199295	0.0	0.0	0.0	0.0	0.0
199296	0.0	0.0	0.0	0.0	0.0
199297	0.0	0.0	0.0	0.0	0.0
199298	0.0	0.0	0.0	0.0	0.0
199299	0.0	0.0	0.16557017543859648	0.0	0.0
199300	0.0	0.0	0.0	0.0	0.0
199301	0.0	0.0	0.0	0.0	0.0
199302	0.0	0.0	0.0	0.0	0.0
199303	0.0	0.0	0.0	0.0	0.0
199304	0.0	0.0	0.0	0.0	0.0
199305	0.0	0.0	0.0	0.0	0.0
199306	0.0	0.0	0.0	0.0	0.0
199307	0.0	0.0	0.0	0.0	0.0
199308	0.0	0.0	0.0	0.0	0.0
199309	0.0	0.0	0.0	0.0	0.0
199310	0.0	0.0	0.0	0.0	0.0
199311	0.0	0.0	0.0	0.0	0.0
199312	0.0	0.0	0.0	0.0	0.0
199313	0.0	0.0	0.0	0.0	0.0
199314	0.0	0.0	0.0	0.0	0.0
199315	0.0	0.0	0.0	0.0	0.0
199316	0.0	0.0	0.0	0.0	0.0
199317	0.0	0.0	0.0	0.0	0.0
199318	0.0	0.0	0.0	0.0	0.0
199319	0.0	0.0	0.0	0.0	0.0
199320	0.0	0.0	0.0	0.0	0.0
199321	0.0	0.0	0.0	0.13141862489120976	0.0
199322	0.0	0.0	0.0	0.0	0.0
199323	0.0	0.0	0.0	0.0	0.0
199324	0.0	0.0	0.0	0.0	0.0
199325	0.0	0.0	0.0	0.0	0.0
199326	0.0	0.0	0.0	0.0	0.0
199327	0.0	0.0	0.0	0.0	0.0
199328	0.0	0.0	0.0	0.0	0.0
199329	0.03642064640617462	0.0	0.0	0.0	0.0
199330	0.0	0.0	0.0	0.0	0.0
199331	0.0	0.0	0.0	0.0	0.0
199332	0.0	0.0	0.0	0.0	0.0
199333	0.0	0.0	0.0	0.0	0.0
199334	0.0	0.0	0.0	0.0	0.0
199335	0.0	0.0	0.0	0.0	0.0
199336	0.0	0.0	0.0	0.0	0.0
199337	0.0	0.0	0.0	0.0	0.0
199338	0.16491963661774983	0.14954577218728163	0.16771488469601678	0.1509433962264151	0.17540181691125087
199339	0.0	0.0	0.0	0.0	0.0
199340	0.0	0.12489660876757651	0.0	0.24483043837882548	0.0
199341	0.0	0.0	0.0	0.0	0.0
199342	0.0	0.0	0.0	0.0	0.0
199343	0.0	0.0	0.0	0.0	0.0
199344	0.29346904156064463	0.5139949109414759	0.3044953350296862	0.22985581000848176	0.3469041560644614
199345	0.0	0.0	0.0	0.0	0.0
199346	0.0	0.0	0.0	0.0	0.0
199347	0.0	0.0	0.0	0.0	0.0
199348	0.0	0.0	0.0	0.0	0.0
199349	0.0	0.0	0.0	0.0	0.0
199350	0.0	0.0	0.0	0.0	0.0
199351	0.0	0.0	0.0	0.0	0.0
199352	0.0	0.0	0.0	0.0	0.0
199353	0.0	0.0	0.0	0.0	0.0
199354	0.0	0.0	0.0	0.0	0.0
199355	0.13585245164192533	0.0	0.06792622582096267	0.06792622582096267	0.0
199356	0.0	0.0	0.0	0.0	0.0
199357	0.0	0.0	0.0	0.0	0.0
199358	0.0	0.0	0.0	0.0	0.0
199359	0.0	0.0	0.0	0.0	0.0
199360	0.0	0.0	0.0	0.0	0.0
199361	0.0	0.0	0.0	0.0	0.0
199362	0.0	0.0	0.0	0.0	0.0
199363	0.0	0.0	0.0	0.0	0.0
199364	0.0	0.0	0.0	0.0	0.0
199365	0.0	0.0	0.0	0.0	0.0
199366	0.0	0.0	0.0	0.0	0.0
199367	0.0	0.0	0.0	0.0	0.0
199368	0.0	0.0	0.0	0.0	0.0
199369	0.0	0.0	0.0	0.0	0.0
199370	0.0	0.0	0.0	0.0	0.0
199371	0.0	0.0	0.0	0.0	0.0
199372	0.0	0.0	0.0	0.0	0.0
199373	0.0	0.0	0.0	0.0	0.0
199374	0.0	0.0	0.0	0.0	0.0
199375	0.0	0.0	0.0	0.0	0.0
199376	0.0	0.0	0.0	0.0	0.0
199377	0.0	0.0	0.0	0.0	0.0
199378	0.0	0.0	0.0	0.0	0.0
199379	0.0	0.0	0.0	0.0	0.0
199380	0.0	0.0	0.0	0.0	0.0
199381	0.0	0.0	0.0	0.0	0.0
199382	0.0	0.0	0.0	0.0	0.0
199383	0.0	0.0	0.0	0.0	0.0
199384	0.0	0.0	0.0	0.0	0.0
199385	0.1215780998389694	0.2560386473429952	0.1215780998389694	0.1215780998389694	0.0
199386	0.0	0.0	0.0	0.0	0.0
199387	0.0	0.0	0.0	0.0	0.0
199388	0.0	0.0	0.0	0.0	0.0
199389	0.0	0.0	0.0	0.0	0.0
199390	0.0	0.0	0.0	0.0	0.0
199391	0.4191476941039113	0.21424401634559254	0.28312901342673674	0.21424401634559254	0.18739054290718038
199392	0.0	0.0	0.0	0.0	0.0
199393	0.0	0.0	0.0	0.0	0.0
199394	0.0	0.0	0.0	0.0	0.0
199395	0.0	0.0	0.0	0.0	0.0
199396	0.0	0.0	0.0	0.0	0.0
199397	0.0	0.14339981006647673	0.0	0.0	0.0
199398	0.0	0.0	0.0	0.0	0.0
199399	0.0	0.0	0.0	0.0	0.0
199400	0.0	0.0	0.0	0.0	0.0
199401	0.0	0.0	0.0	0.0	0.0
199402	0.0	0.0	0.0	0.0	0.0
199403	0.0	0.0	0.0	0.0	0.0
199404	0.0	0.0	0.0	0.0	0.0
199405	0.0	0.0	0.0	0.0	0.0
199406	0.0	0.0	0.0	0.0	0.0
199407	0.0	0.0	0.0	0.0	0.0
199408	0.09303758471965495	0.1472581638940234	0.09303758471965495	0.09303758471965495	0.1170671595810228
199409	0.0	0.0	0.0	0.0	0.0
199410	0.0	0.0	0.0	0.0	0.0
199411	0.0	0.0	0.0	0.0	0.0
199412	0.0	0.0	0.0	0.0	0.0
199413	0.0	0.0	0.0	0.0	0.0
199414	0.0	0.0	0.0	0.0	0.0
199415	0.0	0.0	0.0	0.0	0.0
199416	0.0	0.0	0.0	0.0	0.0
199417	0.0	0.0	0.0	0.0	0.0
199418	0.0	0.0	0.0	0.0	0.0
199419	0.0	0.0	0.0	0.0	0.0
199420	0.0	0.0	0.0	0.0	0.0
199421	0.0	0.0	0.0	0.0	0.0
