gene_callers_id	FAGR_M16	FAGR_M17	FAGR_M18	FAGR_M19	FAGR_M20
105179	0.2314494425221069	0.2887351018838908	0.05767012687427912	0.40561322568242986	0.23106497500961168
105180	0.0	0.0	0.0	0.0	0.0
105181	0.5614702154626109	0.19138149556400508	0.0	0.0	0.1850443599493029
105182	0.0	0.0	0.0	0.0	0.0
105183	0.0	0.0	0.0	0.0	0.0
105184	0.0	0.0	0.0	0.0	0.22400611620795108
105185	0.30784913353720694	0.0	0.0	0.0	0.30784913353720694
105186	0.0	0.0	0.0	0.0	0.0
105187	0.31295336787564765	0.0	0.0	0.0	0.0
105188	0.0	0.0	0.0	0.0	0.0
105189	0.3264367816091954	0.0	0.0	0.0	0.0
105190	0.0	0.0	0.0	0.0	0.0
105191	0.0	0.0	0.0	0.0	0.0
105192	0.6711111111111111	0.0	0.0	0.0	0.0
105193	0.0	0.0	0.0	0.0	0.0
105194	0.0	0.0	0.0	0.0	0.0
105195	1.1279178338001867	0.13352007469654528	0.0	0.12978524743230627	0.0
105196	1.327485380116959	6.9298245614035086	0.0	0.0	0.0
105197	0.0	1.2313296903460837	0.0	0.0965391621129326	0.9143897996357013
105198	0.045733578882750155	0.32443216697360344	0.0	0.4923265807243708	0.39717618170656843
105199	0.0	0.43204577968526464	0.0	0.0	0.0
105200	0.8852459016393442	1.0163934426229508	0.0	0.0	0.0
105201	0.0	0.0	0.0	0.0	0.0
105202	0.4247538677918425	0.849507735583685	1.2742616033755274	0.4247538677918425	0.4247538677918425
105203	1.5904255319148937	0.0	0.0	0.0	0.5354609929078015
105204	0.0	0.0	0.0	0.17178612059158135	0.0
105205	0.0	0.0	0.0	0.0	0.12525879917184266
105206	0.3435722411831627	0.0	0.0	0.0	0.3390216154721274
105207	0.0	0.0	0.0	0.0	0.0
105208	0.12726506531816267	0.0	0.0	0.0	0.0
105209	0.0	0.0	0.0	0.0	0.09830729166666667
105210	0.0	0.0	0.0	0.0	0.0
105211	0.0	0.0	0.0	0.0	0.05327868852459016
105212	0.0	0.0	0.0	0.0	0.024242424242424242
105213	0.0	0.0	0.0	0.0	0.0
105214	0.0	0.24552845528455283	0.0	0.0	0.0
105215	0.0	0.0	0.0	0.0	0.0
105216	0.0	0.0	0.0	0.0	0.0
105217	0.0	0.0	0.0	0.0	0.0
105218	0.0	0.0	0.0	0.0	0.0
105219	0.0	0.3971071663379356	0.0	0.3971071663379356	0.0
105220	0.0	0.0793901156677182	0.0	0.0	0.1587802313354364
105221	2.177165354330709	1.7834645669291338	1.5853018372703411	0.5905511811023622	0.0
105222	0.0	0.10686482661004953	0.0	0.0	0.0
105223	0.5763358778625954	0.3842239185750636	0.0	0.0	0.0
105224	0.8944246737841044	0.0	0.08956109134045077	0.800711743772242	0.0
105225	0.0	0.0	0.0	0.0	0.0
105226	0.0	0.0	0.0	0.0	0.0
105227	1.3872209391839876	0.0	0.0	0.0	0.0
105228	0.28040854224698236	0.0	0.7010213556174559	0.14020427112349118	2.38347260909935
105229	0.0	0.0	0.0	0.0	0.0
105230	0.1104992657856094	0.0	0.0	0.0	0.0
105231	0.0	0.0	0.0	0.0	0.0
105232	0.44542772861356933	0.0	0.0	0.0	0.0
105233	0.0	0.0	0.0	0.0	0.0
105234	0.0	0.0	0.0	0.0	0.0
105235	0.231859410430839	0.0	0.0	0.0	0.0
105236	0.0622568093385214	0.0	0.0	0.0	0.0
105237	0.0	0.0	0.0	0.0	0.0
105238	0.0	0.0	0.0	0.0	0.0
105239	0.0	0.0	0.0	0.0	0.0
105240	0.0	0.0	0.0	0.0	0.0
105241	0.0	0.0	0.0	0.0	0.3932291666666667
105242	5.842535787321063	8.314928425357873	4.922290388548057	3.390593047034765	5.249488752556237
105243	0.0	0.0	0.0	0.7294685990338164	0.0
105244	0.12774957698815567	0.0	0.0	0.0	0.0
105245	0.0	0.0	0.0	0.0	0.0
105246	0.0	0.652267818574514	0.0	0.0	0.0
105247	0.0	0.2215909090909091	0.0	0.0	0.0
105248	0.2978303747534517	0.1863905325443787	0.0	0.0	0.14891518737672585
105249	0.7362588652482269	0.6666666666666666	0.0	0.6019503546099291	0.3346631205673759
105250	0.0	0.0	0.0	0.0	0.0
105251	0.0	0.0	0.0	0.0	0.0
105252	0.0	0.0	0.0	0.0	0.0
105253	0.0	0.0	0.0	0.0	0.0
105254	0.0	0.0	0.0	0.0	0.0
105255	0.11336336336336336	0.0	0.0	0.0	0.22522522522522523
105256	0.0	0.0	0.0	0.0	0.0
105257	0.0	0.0	0.0	0.0	0.0
105258	0.26907630522088355	0.0	0.0	0.0	0.0
105259	0.5243445692883895	0.0	0.0	0.0	0.0
105260	0.0	0.0	0.0	0.0	0.0
105261	0.2178932178932179	0.0	0.0	0.0	0.0
105262	0.40106241699867196	0.17264276228419656	0.0	0.0	0.0
105263	0.0	0.24050632911392406	0.0	0.0	0.4247538677918425
105264	0.742014742014742	0.0	0.0	0.12366912366912367	0.24733824733824733
105265	0.31957671957671957	0.6010582010582011	0.0	0.0	0.0
105266	0.0	0.6169154228855721	0.0	0.6009950248756218	0.0
105267	0.0	0.3389450056116723	0.0	0.0	0.16610549943883277
105268	0.0	0.0	0.0	0.0	0.0
105269	0.423859649122807	0.0	0.0	0.0	0.0
105270	0.0	0.0	0.0	0.0	0.0
105271	0.0	0.0	0.0	0.0	0.0
105272	0.0	0.0	0.13124728378965667	0.0	0.0
105273	0.2111888111888112	0.0	0.0	0.0	0.1337995337995338
105274	0.8531073446327684	0.0	0.0	0.0	0.0
105275	0.0	0.3871794871794872	0.0	0.7743589743589744	0.0
105276	0.703962703962704	0.23465423465423466	0.5866355866355867	0.11732711732711733	0.0
105277	0.12355555555555556	0.0	0.0	0.5368888888888889	0.0
105278	0.0	0.0	0.49589490968801314	0.0	0.0
105279	0.0	0.0	0.0	0.0	0.0
105280	0.0	0.0	0.0	0.0	0.0
105281	0.0	0.0	0.0	0.0	0.0
105282	0.0	0.0	0.0	0.0	0.0
105283	0.22470238095238096	0.0	0.0	0.0	0.0
105284	0.0	0.0	0.0	0.0	0.0
105285	0.0	0.0	0.0	0.0	0.0
105286	0.0	0.0	0.12774957698815567	0.25549915397631134	0.23688663282571912
105287	0.0	0.0	0.0	0.0	0.0
105288	0.0	0.0	0.0	0.0	0.0
105289	0.6966551326412919	0.0	0.0	0.0	0.0
105290	0.0	0.0	0.0	0.0	0.0
105291	0.0	0.0	0.0	0.0	0.0
105292	0.0	0.3400900900900901	0.0	0.0	0.0
105293	0.0	0.0	0.0	0.0	0.0
105294	0.5852713178294574	0.0	0.0	0.0	0.0
105295	0.0	0.0	0.0	0.0	0.0
105296	0.0	0.0	0.0	0.0	0.0
105297	0.0	0.0	0.0	0.0	0.0
105298	0.0	0.0	0.0	0.0	0.0
105299	0.14396887159533073	0.0	0.0	0.0	0.0
105300	0.0	0.0	0.0	0.0	0.0
105301	0.0	0.0	0.0	0.0	0.0
105302	0.3348115299334812	0.5580192165558019	0.8898743532889875	0.5580192165558019	0.0
105303	0.0	1.7281553398058251	0.0	0.0	0.0
105304	0.407557354925776	0.0	0.0	0.0	0.3873144399460189
105305	0.0	0.0	0.0	0.0	1.1324786324786325
105306	0.0	0.0	0.0	0.0	0.0
105307	2.1363879957127545	2.2218649517684885	0.3620042872454448	0.7282958199356914	1.1704180064308682
105308	0.22076023391812866	0.0	0.0	0.0	0.0
105309	0.26808699511762096	0.0	0.0	0.0	0.0
105310	0.0	0.0	0.0	0.0	0.0
105311	0.0	0.0	0.0	0.0	0.0
105312	0.0	0.0	0.0	0.0	0.0
105313	0.0	0.0	0.0	0.0	0.0
105314	0.0	0.0	0.0	0.0	0.0
105315	0.0	0.0	0.0	0.0	0.0
105316	0.0	0.0	0.0	0.0	0.0
105317	0.0	0.0	0.0	0.0	0.0
105318	0.0	0.0	0.0	0.0	0.0
105319	0.0	0.0	0.0	0.0	0.0
105320	0.0	0.0	0.0	0.0	0.0
105321	1.3333333333333333	0.0	0.0	0.0	0.0
105322	0.0	0.0	0.0	0.0	0.0
105323	0.0	0.0	0.0	0.0	0.0
105324	0.0	0.0	0.0	0.0	0.0
105325	0.0	0.0	0.0	0.0	0.0
105326	0.0	0.0	0.0	0.0	0.0
105327	0.0	0.0	0.0	0.0	0.9869281045751634
105328	0.42296918767507	0.84593837535014	0.84593837535014	1.2212885154061626	1.69187675070028
105329	0.0	0.33555555555555555	0.0	0.16777777777777778	0.16777777777777778
105330	0.0	0.34832756632064593	0.0	0.0	0.0
105331	0.1419939577039275	0.0	0.0	0.0	0.3041289023162135
105332	0.13978494623655913	0.0	0.0	0.0	0.0
105333	0.0	0.0	0.0	0.0	0.0
105334	0.0	0.0	0.0	0.0	0.0
105335	0.0	0.0	0.0	0.0	0.0
105336	0.0	0.0	0.0	0.0	0.0
105337	0.0	0.0	0.0	0.0	0.0
105338	0.0	0.0	0.0	0.0	0.0
105339	0.0	0.0	0.0	0.0	0.0
105340	0.0	0.0	0.0	0.0	0.0
105341	0.0	0.0	0.0	0.0	0.0
105342	0.0	0.12070343725019984	0.0	0.2414068745003997	0.0
105343	0.0	0.0	0.0	0.0	0.0
105344	0.0	0.0	0.0	0.0	0.0
105345	0.0	0.28679962013295346	0.0	0.0	0.0
105346	0.0	0.0	0.0	0.22076023391812866	0.0
105347	0.10168350168350168	0.4067340067340067	0.0	0.0	0.0
105348	0.0	0.0	0.0	0.0	0.0
105349	0.0	0.0	0.0	0.0	0.0
105350	1.155425219941349	2.5083088954056696	0.0	2.952101661779081	0.5904203323558163
