gene_callers_id	THOC_M06	THOC_M07	THOC_M08	THOC_M09	THOC_M10
20461	0.0	0.0	0.0	0.0	0.0
20462	0.0	0.0	0.0	0.0	0.0
20463	0.0	0.0	0.0	0.0	0.0
20464	0.0	0.0	0.0	0.0	0.0
20465	0.0	0.0	0.0	0.0	0.0
20466	0.0	0.0	0.0	0.0	0.0
20467	0.0	0.0	0.0	0.0	0.0
20468	0.0	0.0	0.0	0.0	0.0
20469	0.0	0.0	0.0	0.0	0.0
20470	0.0	0.0	0.0	0.0	0.0
20471	0.0	0.0	0.0	0.0	0.0
20472	0.0	0.0	0.0	0.0	0.0
20473	0.0	0.0	0.0	0.0	0.0
20474	0.0	0.0	0.0	0.0	0.0
20475	0.0	0.0	0.0	0.0	0.35323383084577115
20476	0.0	0.0	0.0	0.0	0.0
20477	0.9103410341034104	0.5814081408140814	1.6501650165016502	0.24917491749174916	0.4977997799779978
20478	1.314676616915423	1.6902985074626866	0.9365671641791045	3.9440298507462686	4.883084577114428
20479	0.4301994301994302	0.47230136119025007	0.38144982589427034	0.908198797087686	0.908198797087686
20480	0.0	0.0	0.0	0.0	0.0
20481	0.0	0.0	0.0	0.0	0.0
20482	0.0	0.0	0.0	0.0	0.0
20483	0.0	0.0	0.0	0.0	0.0
20484	0.0	0.0	0.0	0.0	0.0
20485	0.0	0.0	0.0	0.0	0.0
20486	0.0	0.0	0.0	0.0	0.0
20487	0.0	0.0	0.0	0.0	0.0
20488	0.0	0.0	0.0	0.0	0.0
20489	0.0	0.0	0.0	0.0	0.0
20490	0.0	0.0	0.0	0.0	0.0
20491	0.0	0.0	0.0	0.0	0.0
20492	0.0	0.0	0.0	0.0	0.0
20493	0.0	0.0	0.0	0.0	0.0
20494	0.0	0.0	0.0	0.0	0.0
20495	0.0	0.0	0.0	0.0	0.0
20496	0.0	0.0	0.0	0.0	0.0
20497	0.0	0.0	0.0	0.0	0.0
20498	0.0	0.0	0.0	0.0	0.0
20499	0.0	0.0	0.0	0.0	0.0
20500	0.0	0.0	0.0	0.0	0.0
20501	0.0	0.0	0.0	0.0	0.0
20502	0.0	0.0	0.0	0.0	0.0
20503	0.0	0.0	0.0	0.0	0.0
20504	0.0	0.0	0.0	0.0	0.0
20505	0.0	0.0	0.0	0.0	0.0
20506	0.0	0.0	0.23575331772053085	0.0	0.0
