bins	THOC_M06	THOC_M07	THOC_M08	THOC_M09	THOC_M10
M_adhaesivum	0.020830438375996276	0.0245102587311557	0.0239435240677311	0.03436579804407062	0.03345508900363728
M_aerolatum	0.028786432796974768	0.038483325457264725	0.058257622274683785	0.13661879862105586	0.09810779587280337
M_ajmalii	0.028916929965228714	0.032349602273629395	0.03235873172125812	0.03846090744063213	0.04038311925440198
M_aminovorans	0.02281015392988679	0.026705520419980894	0.02892592842841953	0.0339521586067651	0.03223655812373491
M_aquaticum	0.017496955279881248	0.01991883289861988	0.020196257385609408	0.022585296447685727	0.023323959583231024
M_brachiatum	0.04258217859014884	0.07144151731259041	0.10112157325323125	0.1752790446428839	0.15569461495617137
M_brachythecii	0.028288781620500383	0.030852438589258412	0.03789080193083099	0.039232991993078295	0.036450258547217916
M_bullatum	0.018646223662646257	0.021184214267029173	0.022034438051574245	0.026868257855263974	0.027835267249858416
M_cerastii	0.11867737424154472	0.5692948277321093	0.39932290189778985	0.5804602841859754	0.603438491447846
M_crusticola	0.036061025608721466	0.043835987310233165	0.04277810465706937	0.05451104591395673	0.05238402225936286
M_currus	0.02442643026880745	0.025761461872517395	0.02585894241998364	0.030641170231377503	0.031952574099741324
M_dankookense	0.03798971575940433	0.04499025522691586	0.0523123909320608	0.05725113214088162	0.05810226304422836
M_durans	0.029477599572799086	0.034701088257499034	0.03545914891266319	0.042917929548676965	0.04082597086931703
M_extorquens	0.021610257989621236	0.025277394894160553	0.026025126999334243	0.034289861069447966	0.031098731827407296
M_frigidaeris	0.019130626485207525	0.022483254164989735	0.022154233434248403	0.02699636244318721	0.02736114351046022
M_fujisawaense	0.031055186019413747	0.05138379051680793	0.07217649854138891	0.1056198527108806	0.07647973124595747
M_gnaphalii	0.021794454438659204	0.024375459525739003	0.02661539498067237	0.03095631936962776	0.02950409734819935
M_goesingense	0.020716642714587324	0.031645052305267346	0.031330294612450606	0.04704324609477375	0.04597505709318365
M_gossipiicola	0.018722311424848967	0.02113487105646729	0.021936921157524717	0.02769669731725402	0.028888169374239582
M_gregans	0.0301498142662398	0.03564514520203888	0.03965679945366996	0.04438809695443287	0.04588865931716057
M_haplocladii	0.043285773703194946	0.04271585408240886	0.09793338710260002	0.09408259054530385	0.062145895529732174
M_hispanicum	0.03341207158334601	0.03972196505273567	0.04337570272722034	0.05116526741890058	0.05081889736056085
M_indicum	0.02425902802761435	0.025568299177321247	0.026252849192128103	0.031287655196985	0.03244592964978421
M_iners	0.031632646747637994	0.038658342665866444	0.035866771826753734	0.045958464192007664	0.04299055488202792
M_isbiliense	0.03298559985495287	0.038882012506011955	0.03950483158137378	0.04820306942797468	0.04702585244237023
M_jeotgali	0.044833622155727296	0.05389026722350189	0.05536577293178051	0.06506397146937047	0.062217680594722984
M_komagatae	0.014772213249521627	0.01939702603892454	0.025281086227642635	0.048563805533237386	0.03579195829962891
M_longum	0.04508368783616626	0.1260692549305907	0.40826061369760586	0.6499153485899702	0.19337557430067828
M_marchantiae	0.019668110922112278	0.022505116079692734	0.023505902101975718	0.02770473908372817	0.028780291493557195
M_mesophilicum	0.04212801694085029	0.08258323407053866	0.10383144154137723	0.16206442053041126	0.1358863314790634
M_nodulans	0.021854340898800794	0.02482050616007065	0.025093273893876493	0.029122792091704264	0.028544786968513033
M_nonmethylotrophicum	0.02469605581244257	0.02905020984828712	0.028823940428318307	0.03541499497150691	0.036149987511766776
M_organophilum	0.04450913097238515	0.054875796582226306	0.05332127231222853	0.06730862211090327	0.06172541295456707
