name	taxonomy_id	taxonomy_lvl	ABBA_M11_num	ABBA_M11_frac	ABBA_M12_num	ABBA_M12_frac	ABBA_M13_num	ABBA_M13_frac	ABBA_M14_num	ABBA_M14_frac	ABBA_M15_num	ABBA_M15_frac	ACSA_M21_num	ACSA_M21_frac	ACSA_M22_num	ACSA_M22_frac	ACSA_M23_num	ACSA_M23_frac	ACSA_M24_num	ACSA_M24_frac	ACSA_M25_num	ACSA_M25_frac	COCO_M01_num	COCO_M01_frac	COCO_M02_num	COCO_M02_frac	COCO_M03_num	COCO_M03_frac	COCO_M04_num	COCO_M04_frac	COCO_M05_num	COCO_M05_frac	FAGR_M16_num	FAGR_M16_frac	FAGR_M17_num	FAGR_M17_frac	FAGR_M18_num	FAGR_M18_frac	FAGR_M19_num	FAGR_M19_frac	FAGR_M20_num	FAGR_M20_frac	THOC_M06_num	THOC_M06_frac	THOC_M07_num	THOC_M07_frac	THOC_M08_num	THOC_M08_frac	THOC_M09_num	THOC_M09_frac	THOC_M10_num	THOC_M10_frac
Methylobacillus	404	G	315	0.00002	324	0.00001	319	0.00001	524	0.00001	380	0.00001	198	0.00001	228	0.00001	109	0.00001	150	0.00001	193	0.00001	116	0.00001	208	0.00001	290	0.00001	189	0.00001	247	0.00001	302	0.00001	519	0.00002	224	0.00001	347	0.00002	215	0.00001	346	0.00001	472	0.00002	290	0.00001	264	0.00001	228	0.00001
Cloacibacillus	508459	G	284	0.00001	270	0.00001	247	0.00001	402	0.00001	325	0.00001	153	0.00001	165	0.00001	109	0.00001	182	0.00001	196	0.00001	82	0.00000	156	0.00001	196	0.00001	162	0.00001	255	0.00001	258	0.00001	280	0.00001	300	0.00001	192	0.00001	239	0.00001	256	0.00001	273	0.00001	246	0.00001	280	0.00001	291	0.00001
Ornithinibacillus	484508	G	114	0.00001	87	0.00000	99	0.00000	109	0.00000	61	0.00000	121	0.00001	114	0.00001	131	0.00002	224	0.00002	134	0.00001	91	0.00000	87	0.00000	108	0.00000	100	0.00001	77	0.00000	133	0.00001	138	0.00001	187	0.00001	180	0.00001	144	0.00001	115	0.00000	64	0.00000	92	0.00000	113	0.00000	67	0.00000
Nilusvirus	2948839	G	0	0.00000	0	0.00000	0	0.00000	0	0.00000	10	0.00000	0	0.00000	0	0.00000	12	0.00000	12	0.00000	17	0.00000	0	0.00000	0	0.00000	10	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	10	0.00000	20	0.00000
Birdsnestvirus	2946829	G	13	0.00000	14	0.00000	13	0.00000	13	0.00000	25	0.00000	20	0.00000	0	0.00000	12	0.00000	0	0.00000	15	0.00000	0	0.00000	15	0.00000	17	0.00000	24	0.00000	18	0.00000	15	0.00000	24	0.00000	12	0.00000	17	0.00000	12	0.00000	27	0.00000	29	0.00000	32	0.00000	12	0.00000	29	0.00000
Actinomycetospora	402649	G	15669	0.00077	41030	0.00182	19602	0.00083	56695	0.00149	10492	0.00041	9440	0.00071	3533	0.00021	3078	0.00036	15959	0.00109	21029	0.00083	3408	0.00017	4124	0.00018	13237	0.00050	8616	0.00054	128305	0.00393	59174	0.00244	22301	0.00085	5231	0.00023	14674	0.00072	11204	0.00063	24773	0.00096	35978	0.00118	88085	0.00353	59814	0.00166	39628	0.00134
Herminiimonas	303379	G	226	0.00001	205	0.00001	227	0.00001	340	0.00001	233	0.00001	293	0.00002	216	0.00001	109	0.00001	175	0.00001	179	0.00001	132	0.00001	280	0.00001	411	0.00002	225	0.00001	240	0.00001	443	0.00002	1321	0.00005	163	0.00001	186	0.00001	228	0.00001	189	0.00001	260	0.00001	189	0.00001	247	0.00001	177	0.00001
Desulfosudis	2904716	G	326	0.00002	322	0.00001	413	0.00002	559	0.00001	425	0.00002	185	0.00001	212	0.00001	126	0.00001	199	0.00001	306	0.00001	114	0.00001	224	0.00001	221	0.00001	196	0.00001	290	0.00001	339	0.00001	314	0.00001	262	0.00001	331	0.00002	307	0.00002	324	0.00001	334	0.00001	314	0.00001	312	0.00001	334	0.00001
Aggregatibacter	416916	G	349	0.00002	337	0.00001	367	0.00002	379	0.00001	350	0.00001	484	0.00004	419	0.00002	413	0.00005	522	0.00004	366	0.00001	318	0.00002	369	0.00002	412	0.00002	384	0.00002	416	0.00001	514	0.00002	412	0.00002	668	0.00003	578	0.00003	483	0.00003	440	0.00002	399	0.00001	342	0.00001	475	0.00001	369	0.00001
Rugosibacter	1914449	G	299	0.00001	306	0.00001	317	0.00001	577	0.00002	334	0.00001	208	0.00002	182	0.00001	111	0.00001	186	0.00001	238	0.00001	175	0.00001	263	0.00001	231	0.00001	206	0.00001	237	0.00001	325	0.00001	466	0.00002	260	0.00001	287	0.00001	321	0.00002	371	0.00001	330	0.00001	335	0.00001	339	0.00001	234	0.00001
Deltaentomopoxvirus	2733302	G	14	0.00000	19	0.00000	0	0.00000	22	0.00000	0	0.00000	27	0.00000	27	0.00000	18	0.00000	26	0.00000	31	0.00000	28	0.00000	53	0.00000	28	0.00000	24	0.00000	22	0.00000	33	0.00000	23	0.00000	323	0.00001	31	0.00000	27	0.00000	46	0.00000	27	0.00000	18	0.00000	38	0.00000	0	0.00000
