
code	|	taxid	|	taxname	|	lineage
1	|	404	|	Methylobacillus	|	404 32011 32003 28216 1224 2 131567 
1	|	508459	|	Cloacibacillus	|	508459 649777 649776 649775 508458 2 131567 
1	|	484508	|	Ornithinibacillus	|	484508 186817 1385 91061 1239 1783272 2 131567 
1	|	2948839	|	Nilusvirus	|	2948839 2946160 2731619 2731618 2731360 2731341 10239 
1	|	2946829	|	Birdsnestvirus	|	2946829 1982876 2731619 2731618 2731360 2731341 10239 
1	|	402649	|	Actinomycetospora	|	402649 2070 85010 1760 201174 1783272 2 131567 
1	|	303379	|	Herminiimonas	|	303379 75682 80840 28216 1224 2 131567 
1	|	2904716	|	Desulfosudis	|	2904716 2904715 213118 3024418 200940 2 131567 
1	|	416916	|	Aggregatibacter	|	416916 712 135625 1236 1224 2 131567 
1	|	1914449	|	Rugosibacter	|	1914449 2008793 32003 28216 1224 2 131567 
1	|	2733302	|	Deltaentomopoxvirus	|	2733302 10284 10240 2732527 2732525 2732007 2732005 2732004 10239 
1	|	28263	|	Arcanobacterium	|	28263 2049 2037 1760 201174 1783272 2 131567 
1	|	3044812	|	Sargevirus	|	3044812 2731619 2731618 2731360 2731341 10239 
1	|	1918454	|	Flintibacter	|	1918454 538999 186802 186801 1239 1783272 2 131567 
1	|	1906659	|	Candidatus Hoaglandella	|	1906659 84563 191675 543 91347 1236 1224 2 131567 
1	|	235572	|	Candidatus Portiera	|	235572 114403 28256 135619 1236 1224 2 131567 
1	|	2948729	|	Greenvirus	|	2948729 2946160 2731619 2731618 2731360 2731341 10239 
1	|	529883	|	Rhodoluna	|	529883 1655489 1655488 85023 85006 1760 201174 1783272 2 131567 
1	|	1677050	|	Novibacillus	|	1677050 186824 1385 91061 1239 1783272 2 131567 
1	|	1744881	|	Sulfuricaulis	|	1744881 1692041 1692040 1236 1224 2 131567 
1	|	3044829	|	Siftrevirus	|	3044829 2731619 2731618 2731360 2731341 10239 
1	|	54253	|	Thermosphaera	|	54253 2272 114380 183924 28889 1783275 2157 131567 
1	|	1229970	|	Glaciimonas	|	1229970 75682 80840 28216 1224 2 131567 
1	|	1392389	|	Intestinimonas	|	1392389 538999 186802 186801 1239 1783272 2 131567 
1	|	2755	|	Brochothrix	|	2755 186820 1385 91061 1239 1783272 2 131567 
1	|	3044696	|	Cuauhnahuacvirus	|	3044696 3044468 2731619 2731618 2731360 2731341 10239 
1	|	1033	|	Afipia	|	1033 41294 356 28211 1224 2 131567 
1	|	249185	|	Maculavirus	|	249185 249184 675063 2732461 2732406 2732396 2559587 10239 
1	|	33071	|	Gloeobacter	|	33071 1890422 307595 3028117 1117 1798711 1783272 2 131567 
1	|	1623289	|	Dhillonvirus	|	1623289 2731619 2731618 2731360 2731341 10239 
1	|	767891	|	Candidatus Puniceispirillum	|	767891 3119833 3119832 28211 1224 2 131567 
1	|	232523	|	Hylemonella	|	232523 80864 80840 28216 1224 2 131567 
1	|	648800	|	Solibacillus	|	648800 186818 1385 91061 1239 1783272 2 131567 
1	|	1982569	|	Tinduovirus	|	1982569 2731619 2731618 2731360 2731341 10239 
1	|	2507291	|	Mivirus	|	2507291 2501952 2499407 2497574 2497570 2497569 2732396 2559587 10239 
1	|	884214	|	Candidatus Zinderia	|	884214 75682 80840 28216 1224 2 131567 
1	|	32012	|	Thiomonas	|	32012 224471 80840 28216 1224 2 131567 
1	|	1918725	|	Jilinvirus	|	1918725 3044645 2731619 2731618 2731360 2731341 10239 
1	|	1004303	|	Ferruginibacter	|	1004303 563835 1853229 1853228 976 68336 1783270 2 131567 
1	|	97050	|	Ruegeria	|	97050 2854170 204455 28211 1224 2 131567 
1	|	2767876	|	Amylolactobacillus	|	2767876 33958 186826 91061 1239 1783272 2 131567 
1	|	84404	|	Hippea	|	84404 3048035 213113 3031853 29547 2 131567 
1	|	648802	|	Rummeliibacillus	|	648802 186818 1385 91061 1239 1783272 2 131567 
1	|	239934	|	Akkermansia	|	239934 1647988 48461 203494 74201 1783257 2 131567 
1	|	83618	|	Pseudoxanthomonas	|	83618 32033 135614 1236 1224 2 131567 
1	|	543311	|	Parvimonas	|	543311 1570339 1737405 1737404 1239 1783272 2 131567 
1	|	190972	|	Sedimentibacter	|	190972 1737407 1737404 1239 1783272 2 131567 
