gene_cluster_id;focal;reference;comp;type;genome_occurences;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;KEGG_BRITE_ACC;KEGG_BRITE;split_level_1;split_level_2;split_level_3;split_level_4;split_level_5;split_level_6;KEGG_category;KOfam_function;KEGG_Class_ACC;KEGG_Class;KEGG_Module_ACC;KEGG_Module;KOfam_ACC;KOfam;COG20_CATEGORY_ACC;COG20_CATEGORY;COG20_PATHWAY_ACC;COG20_PATHWAY;COG20_FUNCTION_ACC;COG20_FUNCTION;Pfam_ACC;Pfam
GC_00003774;shrub;conifer;shrub_vs_conifer;accessory;40;1.07891004479519;3.03498674760906;0.963756338611659;3.14912247631088;0.00163761546507579;0.0270739109612326;ko02000;Transporters>>>ABC transporters, prokaryotic type>>>Metallic cation, iron-siderophore and vitamin B12 transporters>>>Cobalamin transporter;NA;NA;Transporters;ABC transporters, prokaryotic type;Metallic cation, iron-siderophore and vitamin B12 transporters;Cobalamin transporter;Environmental Information Processing > Membrane transport > ABC transporters [PATH:ko02010];iron complex transport system substrate-binding protein;NA;NA;NA;NA;K02016;iron complex transport system substrate-binding protein;P;Inorganic ion transport and metabolism;NA;NA;COG0614;ABC-type Fe3+-hydroxamate transport system, periplasmic component (FepB) (PDB:1ESZ);PF01497.22;Periplasmic binding protein
GC_00002546;shrub;tree;shrub_vs_tree;accessory;79;2.73862015073828;1.66144061834317;0.51669767191647;3.21549855678808;0.00130218149596835;0.0407574716148187;ko02000;Transporters>>>ABC transporters, prokaryotic type>>>Mineral and organic ion transporters>>>NitT/TauT family transporter;NA;NA;Transporters;ABC transporters, prokaryotic type;Mineral and organic ion transporters;NitT/TauT family transporter;Environmental Information Processing > Membrane transport > ABC transporters [PATH:ko02010];NitT/TauT family transport system permease protein;NA;NA;NA;NA;K02050;NitT/TauT family transport system permease protein;P;Inorganic ion transport and metabolism;NA;NA;COG0600;ABC-type nitrate/sulfonate/bicarbonate transport system, permease component (TauC);PF00528.26;Binding-protein-dependent transport system inner membrane component
GC_00003184;broadleaf;conifer;broadleaf_vs_conifer;accessory;56;3.217288935555;1.77909389308983;0.489134593995331;3.6372276975094;2.75588293140085e-4;0.0110138619609318;ko02000;Transporters>>>ABC transporters, prokaryotic type>>>Mineral and organic ion transporters>>>NitT/TauT family transporter;NA;NA;Transporters;ABC transporters, prokaryotic type;Mineral and organic ion transporters;NitT/TauT family transporter;Environmental Information Processing > Membrane transport > ABC transporters [PATH:ko02010];NitT/TauT family transport system ATP-binding protein;NA;NA;NA;NA;K02049;NitT/TauT family transport system ATP-binding protein;P;Inorganic ion transport and metabolism;NA;NA;COG1116;ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component (TauB);PF00005.31;ABC transporter
GC_00012933;conifer;shrub;conifer_vs_shrub;accessory;7;1.32564150565114;3.2423705459221;1.09489795935024;2.96134495295459;0.00306298669665069;0.0385670801711404;ko02000;Transporters>>>ABC transporters, prokaryotic type>>>Mineral and organic ion transporters>>>NitT/TauT family transporter;NA;NA;Transporters;ABC transporters, prokaryotic type;Mineral and organic ion transporters;NitT/TauT family transporter;Environmental Information Processing > Membrane transport > ABC transporters [PATH:ko02010];NitT/TauT family transport system permease protein;NA;NA;NA;NA;K02050;NitT/TauT family transport system permease protein;P;Inorganic ion transport and metabolism;NA;NA;COG0600;ABC-type nitrate/sulfonate/bicarbonate transport system, permease component (TauC);PF00528.26;Binding-protein-dependent transport system inner membrane component
GC_00002545;shrub;conifer;shrub_vs_conifer;accessory;79;2.98504383620831;1.55092010552188;0.528484900857104;2.93465357857259;0.0033392026013152;0.0402386280875523;ko02000;Transporters>>>ABC transporters, prokaryotic type>>>Mineral and organic ion transporters>>>NitT/TauT family transporter;NA;NA;Transporters;ABC transporters, prokaryotic type;Mineral and organic ion transporters;NitT/TauT family transporter;Environmental Information Processing > Membrane transport > ABC transporters [PATH:ko02010];NitT/TauT family transport system ATP-binding protein;NA;NA;NA;NA;K02049;NitT/TauT family transport system ATP-binding protein;P;Inorganic ion transport and metabolism;NA;NA;COG1116;ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component (TauB);PF00005.31;ABC transporter
GC_00062397;broadleaf-tree;conifer;broadleaf-tree_vs_conifer;accessory;1;1.55875432901787;3.610099093864;0.916235379359623;3.94014373946919;8.14328016561898e-5;0.0111930699308718;ko02000;Transporters>>>ABC transporters, prokaryotic type>>>Phosphate and amino acid transporters>>>Putative polar amino acid transporter;NA;NA;Transporters;ABC transporters, prokaryotic type;Phosphate and amino acid transporters;Putative polar amino acid transporter;Environmental Information Processing > Membrane transport > ABC transporters [PATH:ko02010];polar amino acid transport system substrate-binding protein;NA;NA;NA;NA;K02030;polar amino acid transport system substrate-binding protein;E|T;Amino acid transport and metabolism|Signal transduction mechanisms;NA;NA;COG0834;ABC-type amino acid transport/signal transduction system, periplasmic component/domain (HisJ) (PDB:1GGG);PF00497.24;Bacterial extracellular solute-binding proteins, family 3
GC_00022853;conifer;shrub;conifer_vs_shrub;accessory;3;1.2245968910039;3.60501324399313;1.16902064821802;3.08378919524508;0.00204382359972611;0.0311319497381501;ko02000;Transporters>>>ABC transporters, prokaryotic type>>>Phosphate and amino acid transporters>>>Putative tryptophan/tyrosine transporter;NA;NA;Transporters;ABC transporters, prokaryotic type;Phosphate and amino acid transporters;Putative tryptophan/tyrosine transporter;Environmental Information Processing > Membrane transport > ABC transporters [PATH:ko02010];putative tryptophan/tyrosine transport system substrate-binding protein;NA;NA;NA;NA;K01989;putative tryptophan/tyrosine transport system substrate-binding protein;R;General function prediction only;NA;NA;COG2984;ABC-type uncharacterized transport system, periplasmic component (PDB:3LFT);PF04392.16;ABC transporter substrate binding protein
GC_00032935;conifer;shrub;conifer_vs_shrub;accessory;2;1.23327975373105;3.6431579317965;1.21808266029743;2.99089548726266;0.00278160676522429;0.0366836533675458;ko02000;Transporters>>>ABC transporters, prokaryotic type>>>Saccharide, polyol, and lipid transporters>>>Putative multiple sugar transporter;NA;NA;Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Putative multiple sugar transporter;Environmental Information Processing > Membrane transport > ABC transporters [PATH:ko02010];multiple sugar transport system permease protein;NA;NA;NA;NA;K02026;multiple sugar transport system permease protein;G;Carbohydrate transport and metabolism;NA;NA;COG0395;ABC-type glycerol-3-phosphate transport system, permease component (UgpE) (PDB:1VR4);PF00528.26;Binding-protein-dependent transport system inner membrane component
GC_00015881;broadleaf-tree;conifer;broadleaf-tree_vs_conifer;accessory;5;3.5086503504621;1.89517518233065;0.576580329525347;3.28692306220505;0.00101288502889685;0.0414990683473988;ko02000;Transporters>>>ABC transporters, prokaryotic type>>>Saccharide, polyol, and lipid transporters>>>Putative simple sugar transporter;NA;NA;Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Putative simple sugar transporter;Environmental Information Processing > Membrane transport > ABC transporters [PATH:ko02010];simple sugar transport system ATP-binding protein [EC:7.5.2.-];NA;NA;NA;NA;K02056;simple sugar transport system ATP-binding protein [EC:7.5.2.-];G;Carbohydrate transport and metabolism;NA;NA;COG1129;ABC-type sugar transport system, ATPase component (MglA);PF00005.31;ABC transporter
GC_00000358;conifer;broadleaf;conifer_vs_broadleaf;core;104;19.9900830335089;0.960457252333784;0.284464563178077;3.3763687174368;7.34494150545725e-4;0.0195122760926316;ko01000|ko02044|ko02035;Bacterial motility proteins>>>Pilus system>>>Pilus assembly proteins;NA;NA;NA;Bacterial motility proteins;Pilus system;Pilus assembly proteins;Cellular Processes > Cell motility > Pilus assembly;pilus assembly protein CpaF [EC:7.4.2.8];NA;NA;NA;NA;K02283;pilus assembly protein CpaF [EC:7.4.2.8];U|W;Intracellular trafficking, secretion, and vesicular transport|Extracellular structures;NA;NA;COG4962;Pilus assembly protein, ATPase of CpaF family (CpaF);PF00437.24;Type II/IV secretion system protein
