gene_cluster_id,focal,reference,type,genome_occurences,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,COG20_CATEGORY_ACC,COG20_CATEGORY,COG20_PATHWAY_ACC,COG20_PATHWAY,COG20_FUNCTION_ACC,COG20_FUNCTION,KEGG_BRITE_ACC,KEGG_BRITE,KEGG_Class_ACC,KEGG_Class,KEGG_Module_ACC,KEGG_Module,KOfam_ACC,KOfam,Pfam_ACC,Pfam
GC_00024525,tree,shrub,accessory,2,5.2734044425561,5.38597632346368,1.38362403389171,3.89265883761399,9.91515404460101e-5,0.00822095838489043,Q|Q,"Secondary metabolites biosynthesis, transport and catabolism|Secondary metabolites biosynthesis, transport and catabolism",,,COG0346|COG2514,"Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family (GloA) (PDB:3R4Q) (PUBMED:11830595)|Catechol-2,3-dioxygenase (CatE)",ko00001|ko00001|ko00001|ko00001|ko01000,"KEGG Orthology (KO)>>>09100 Metabolism>>>09111 Xenobiotics biodegradation and metabolism>>>00362 Benzoate degradation [PATH:ko00362]|KEGG Orthology (KO)>>>09100 Metabolism>>>09111 Xenobiotics biodegradation and metabolism>>>00361 Chlorocyclohexane and chlorobenzene degradation [PATH:ko00361]|KEGG Orthology (KO)>>>09100 Metabolism>>>09111 Xenobiotics biodegradation and metabolism>>>00622 Xylene degradation [PATH:ko00622]|KEGG Orthology (KO)>>>09100 Metabolism>>>09111 Xenobiotics biodegradation and metabolism>>>00643 Styrene degradation [PATH:ko00643]|Enzymes>>>1. Oxidoreductases>>>1.13  Acting on single donors with incorporation of molecular oxygen (oxygenases)>>>1.13.11  With incorporation of two atoms of oxygen>>>1.13.11.2  catechol 2,3-dioxygenase",M00569,Pathway modules; Xenobiotics biodegradation; Aromatics degradation,M00569,"Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA",K00446,"catechol 2,3-dioxygenase [EC:1.13.11.2]",PF00903.29,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
GC_00006834,tree,shrub,accessory,8,5.14280576900143,4.75830694288182,1.09143159431866,4.35969323927464,1.30244895789841e-5,0.00201474382131796,X,"Mobilome: prophages, transposons",,,COG3666,"Transposase, IS1182 family",ko00001,KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09192 Unclassified: genetic information processing>>>99976 Replication and repair,,,,,K07487_or_K07481,"transposase_or_transposase, IS5 family",PF13751.10_or_PF05598.15,Transposase DDE domain_or_Transposase domain (DUF772)
GC_00050528,tree,shrub,accessory,1,7.23036029076514,4.66447158087432,1.10256682585406,4.23055679846088,2.33113571331204e-5,0.00318476394495622,K,Transcription,,,COG0583,"DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)",ko03000,Transcription factors>>>Prokaryotic type>>>Helix-turn-helix>>>LysR family,M00664,Signature modules; Gene set; Symbiosis,M00664,Nodulation,K14657,"LysR family transcriptional regulator, nod-box dependent transcriptional activator",PF03466.24,LysR substrate binding domain
GC_00021485,tree,shrub,accessory,2,6.97434358012948,4.6135694890257,1.09058932377256,4.23034536324496,2.33332798725423e-5,0.00318476394495622,X,"Mobilome: prophages, transposons",,,COG3344,Retron-type reverse transcriptase (YkfC),ko00001|ko01000,KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09191 Unclassified: metabolism>>>99980 Enzymes with EC numbers|Enzymes>>>2. Transferases>>>2.7  Transferring phosphorus-containing groups>>>2.7.7  Nucleotidyltransferases>>>2.7.7.49  RNA-directed DNA polymerase,,,,,K00986,RNA-directed DNA polymerase [EC:2.7.7.49],PF00078.31,Reverse transcriptase (RNA-dependent DNA polymerase)
GC_00027257,tree,shrub,accessory,2,4.63848254196634,4.01538023922693,1.12719085333469,3.56228958685017,3.67634535016394e-4,0.0192578183095645,I|G,Lipid transport and metabolism|Carbohydrate transport and metabolism,COG1028|COG3347,Fatty acid biosynthesis,COG1028|COG3347,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)|Rhamnose utilisation protein RhaD, predicted bifunctional aldolase and dehydrogenase (RhaD) (PDB:3M4R)",,,,,,,,,PF13561.10,Enoyl-(Acyl carrier protein) reductase
GC_00020009,tree,shrub,accessory,2,4.3374142025011,3.90594236232455,0.961340015913558,4.06301859661251,4.84421686003292e-5,0.00488704254531726,L,"Replication, recombination and repair",,,COG4974,Site-specific recombinase XerD (XerD) (PDB:1A0P),ko03036,Chromosome and associated proteins>>>Prokaryotic type>>>Chromosome partitioning proteins>>>Other chromosome partitioning proteins,,,,,K04763,integrase/recombinase XerD,PF00589.26_or_PF13495.10,"Phage integrase family_or_Phage integrase, N-terminal SAM-like domain"
GC_00045116,tree,shrub,accessory,1,2.63218934423164,3.7701934418059,0.978380587946086,3.8535039311447,1.16439393005165e-4,0.00900594016343278,,,,,,,,,,,,,,,PF10604.13,Polyketide cyclase / dehydrase and lipid transport
GC_00008472,tree,shrub,accessory,14,2.47359045410671,3.67871998265087,1.021841755558,3.60008774611293,3.18109813242259e-4,0.0172997063279638,M,Cell wall/membrane/envelope biogenesis,,,COG1732,Periplasmic glycine betaine/choline-binding (lipo)protein of an ABC-type transport system (osmoprotectant binding protein) (OsmF) (PDB:4WEP),ko00001|ko02000,"KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010]|Transporters>>>ABC transporters, prokaryotic type>>>Mineral and organic ion transporters>>>Osmoprotectant transporter",,,,,K05845,osmoprotectant transport system substrate-binding protein,PF04069.16,Substrate binding domain of ABC-type glycine betaine transport system
GC_00012383,tree,shrub,accessory,7,1.60530580853259,3.67639039934506,1.05351619993148,3.48963822253912,4.83674852752587e-4,0.0231501463844628,P|R,Inorganic ion transport and metabolism|General function prediction only,,,COG4638,"Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit (HcaE) (PDB:4QDC)",ko00001,KEGG Orthology (KO)>>>09100 Metabolism>>>09111 Xenobiotics biodegradation and metabolism>>>00627 Aminobenzoate degradation [PATH:ko00627],,,,,K03863,vanillate monooxygenase ferredoxin subunit,PF19112.4,Vanillate O-demethylase oxygenase C-terminal domain
GC_00003662,tree,shrub,accessory,23,5.37987704777323,3.66847799665537,0.883207352981013,4.15358633991608,3.27304633835455e-5,0.00368387771198397,X,"Mobilome: prophages, transposons",,,COG2801,Transposase InsO and inactivated derivatives (Tra5),ko00001,KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09192 Unclassified: genetic information processing>>>99976 Replication and repair,,,,,K07497,putative transposase,PF01527.24,Transposase
