	corresponding_gene_call	sample_id	num_SCVs
0	69460	THOC_M09	14
1	69461	ABBA_M12	3
2	69461	FAGR_M16	1
3	69461	FAGR_M19	1
4	69461	THOC_M08	3
5	69461	THOC_M09	9
6	69461	THOC_M10	6
7	69462	THOC_M09	1
8	69462	THOC_M10	8
9	69463	ABBA_M12	9
10	69463	ACSA_M21	7
11	69463	COCO_M02	2
12	69463	COCO_M05	8
13	69463	THOC_M08	8
14	69463	THOC_M09	2
15	69463	THOC_M10	1
16	69466	ABBA_M12	16
17	69466	ACSA_M21	1
18	69466	COCO_M01	1
19	69466	COCO_M02	1
20	69466	COCO_M03	3
21	69466	COCO_M05	12
22	69466	FAGR_M16	4
23	69466	FAGR_M17	4
24	69466	FAGR_M19	3
25	69466	THOC_M07	9
26	69466	THOC_M08	7
27	69466	THOC_M09	22
28	69466	THOC_M10	24
29	69467	ABBA_M12	18
30	69467	ABBA_M14	1
31	69467	ACSA_M21	6
32	69467	COCO_M01	3
33	69467	COCO_M02	6
34	69467	COCO_M03	1
35	69467	COCO_M04	2
36	69467	COCO_M05	5
37	69467	FAGR_M16	12
38	69467	FAGR_M19	11
39	69467	THOC_M06	6
40	69467	THOC_M07	4
41	69467	THOC_M09	28
42	69467	THOC_M10	30
43	69468	COCO_M01	1
44	69468	THOC_M09	3
45	69470	ABBA_M12	1
46	69470	ACSA_M21	3
47	69470	ACSA_M25	1
48	69470	COCO_M03	2
49	69470	COCO_M05	1
50	69470	FAGR_M19	1
51	69470	THOC_M08	1
52	69470	THOC_M09	7
53	69470	THOC_M10	5
54	69471	THOC_M09	1
55	69471	THOC_M10	1
56	69472	ABBA_M12	11
57	69472	COCO_M01	8
58	69472	COCO_M03	1
59	69472	COCO_M05	9
60	69472	FAGR_M16	7
61	69472	FAGR_M17	5
62	69472	THOC_M07	6
63	69472	THOC_M08	5
64	69472	THOC_M09	4
65	69472	THOC_M10	17
66	69473	ABBA_M12	7
67	69473	ACSA_M21	1
68	69473	COCO_M01	9
