	corresponding_gene_call	sample_id	pNpS_gene_consensus
0	66214	ABBA_M12	
1	66214	COCO_M01	
2	66214	COCO_M02	
3	66214	COCO_M03	
4	66214	COCO_M04	
5	66215	ABBA_M12	
6	66215	ABBA_M13	
7	66215	ABBA_M14	
8	66215	ACSA_M21	
9	66215	ACSA_M22	
10	66215	ACSA_M24	
11	66215	ACSA_M25	0.24778883654047226
12	66215	COCO_M01	0.39481953736763775
13	66215	COCO_M02	0.29302770059345334
14	66215	COCO_M03	0.34692125726080475
15	66215	COCO_M04	0.12365967902915456
16	66215	COCO_M05	0.262259580711335
17	66215	FAGR_M16	0.14811453793879034
18	66215	FAGR_M17	0.19216379197910788
19	66215	FAGR_M19	
20	66215	THOC_M07	
21	66215	THOC_M09	0.11697739358669662
22	66215	THOC_M10	0.25724965213710393
23	66216	ABBA_M12	
24	66216	ABBA_M14	
25	66216	ACSA_M25	
26	66216	COCO_M01	0.20218967371275556
27	66216	COCO_M02	0.15524485905641905
28	66216	COCO_M03	0.15253741087850067
29	66216	COCO_M04	
30	66216	COCO_M05	0.1557537507224866
31	66216	FAGR_M16	0.12780439069971386
32	66216	FAGR_M17	0.1512719199472213
33	66216	FAGR_M19	0.058712035379567123
34	66216	THOC_M08	
35	66216	THOC_M09	
36	66216	THOC_M10	0.2040366123968957
37	66217	ABBA_M12	0.17509377132748055
38	66217	ABBA_M13	
39	66217	ABBA_M14	
40	66217	ACSA_M21	
41	66217	ACSA_M24	
42	66217	ACSA_M25	
43	66217	COCO_M01	0.10473969077034437
44	66217	COCO_M02	0.12618467549825235
45	66217	COCO_M03	0.1019956095361901
46	66217	COCO_M04	0.09515509314318558
47	66217	COCO_M05	0.08314649912533248
48	66217	FAGR_M16	0.003833546948324539
49	66217	FAGR_M17	0.10001184172734306
50	66217	FAGR_M19	
51	66217	FAGR_M20	
52	66217	THOC_M06	
53	66217	THOC_M07	0.16147873115477032
54	66217	THOC_M08	
55	66217	THOC_M09	0.13747997165157422
56	66217	THOC_M10	
57	66218	ABBA_M12	0.38664326302707375
58	66218	ABBA_M13	
59	66218	ABBA_M14	
60	66218	ACSA_M21	0.23022103027739518
61	66218	ACSA_M22	
62	66218	ACSA_M24	
63	66218	ACSA_M25	0.01581207314887741
64	66218	COCO_M01	0.1714598959332389
65	66218	COCO_M02	0.1576552150261869
66	66218	COCO_M03	0.14636078309479034
67	66218	COCO_M04	0.2820562418011389
68	66218	COCO_M05	0.1524793952884096
69	66218	FAGR_M16	0.0762708175230057
70	66218	FAGR_M17	0.18429090119884423
71	66218	FAGR_M19	
72	66218	FAGR_M20	
73	66218	THOC_M07	0.05515375900662973
74	66218	THOC_M08	
75	66218	THOC_M09	0.12969526049978247
76	66218	THOC_M10	0.07656534696405354
77	66219	ABBA_M12	
78	66219	ABBA_M14	0.12186641246459529
79	66219	ACSA_M21	
80	66219	ACSA_M24	
81	66219	ACSA_M25	
82	66219	COCO_M01	
83	66219	COCO_M02	0.0273722428862928
84	66219	COCO_M03	0.03775641500784952
85	66219	COCO_M04	
86	66219	COCO_M05	0.0541161924962757
87	66219	FAGR_M16	
88	66219	FAGR_M17	
89	66219	FAGR_M19	
90	66219	FAGR_M20	
91	66219	THOC_M08	0.1846891635017575
92	66219	THOC_M09	
93	66219	THOC_M10	
94	66220	ABBA_M12	0.039935024966521925
95	66220	ABBA_M14	
96	66220	ACSA_M21	0.028427961803638494
97	66220	ACSA_M24	
98	66220	ACSA_M25	
99	66220	COCO_M01	0.03879168083407548
100	66220	COCO_M02	0.05468388535344741
101	66220	COCO_M03	0.01933233997152767
102	66220	COCO_M04	0.25455431098301684
103	66220	COCO_M05	0.028286643251172063
104	66220	FAGR_M16	0.10733071167139631
105	66220	FAGR_M17	0.007049552099068182
106	66220	FAGR_M19	
107	66220	FAGR_M20	0.04303243964565931
108	66220	THOC_M07	
109	66220	THOC_M09	0.03360877397950384
110	66220	THOC_M10	
111	66221	ABBA_M12	
112	66221	ABBA_M14	
113	66221	ACSA_M21	
114	66221	ACSA_M24	0.18439634353423823
115	66221	ACSA_M25	0.2660890783888216
116	66221	COCO_M01	0.2579010316219766
117	66221	COCO_M02	0.24750255928024323
118	66221	COCO_M03	0.18673859657868078
119	66221	COCO_M04	
120	66221	COCO_M05	0.17595689730857175
121	66221	FAGR_M16	0.06962000977410723
122	66221	FAGR_M17	0.12116070274215154
123	66221	FAGR_M19	
124	66221	FAGR_M20	0.21662181526126753
125	66221	THOC_M07	
126	66221	THOC_M08	
127	66221	THOC_M09	0.1891946847278147
128	66221	THOC_M10	
129	66222	ABBA_M12	
130	66222	ABBA_M13	
131	66222	ACSA_M21	
132	66222	ACSA_M24	
133	66222	ACSA_M25	
134	66222	COCO_M01	0.017496574201077496
135	66222	COCO_M02	0.11446211865217883
136	66222	COCO_M03	0.02866188140041259
137	66222	COCO_M04	
138	66222	COCO_M05	0.032792969792081905
139	66222	FAGR_M16	
140	66222	FAGR_M17	
141	66222	FAGR_M19	
142	66222	FAGR_M20	
143	66222	THOC_M07	
144	66222	THOC_M09	
145	66222	THOC_M10	
146	66223	ABBA_M11	0.021267156827536375
147	66223	ABBA_M12	0.2873853205586815
148	66223	ABBA_M13	0.1207849397915939
149	66223	ABBA_M14	0.17369026303650648
150	66223	ABBA_M15	0.07597696755452431
151	66223	ACSA_M21	0.2307410307061361
152	66223	ACSA_M23	0.2643362319002256
153	66223	ACSA_M24	0.19689454514036253
154	66223	ACSA_M25	0.4063372661203689
155	66223	COCO_M01	0.07523708297691854
156	66223	COCO_M02	0.08696727228041974
157	66223	COCO_M03	0.1325939678092703
158	66223	COCO_M04	0.22811368185997877
159	66223	COCO_M05	0.09713691816324696
160	66223	FAGR_M16	0.20893742893812686
161	66223	FAGR_M17	0.24303488961075148
162	66223	FAGR_M19	0.18899330499017974
163	66223	FAGR_M20	0.17625855728333778
164	66223	THOC_M07	0.21616026353618675
165	66223	THOC_M08	0.1859467772085529
166	66223	THOC_M09	0.18938023188972863
167	66223	THOC_M10	0.20877120241404773
168	66224	ABBA_M12	
169	66224	ABBA_M14	
170	66224	ACSA_M22	
171	66224	ACSA_M25	
172	66224	COCO_M01	0.22425341871393828
173	66224	COCO_M02	0.209024888694666
174	66224	COCO_M03	0.17752494467653032
175	66224	COCO_M04	
176	66224	COCO_M05	
177	66224	FAGR_M16	
178	66224	FAGR_M17	
179	66224	FAGR_M19	
180	66224	THOC_M09	
181	66224	THOC_M10	
182	66225	ABBA_M12	
183	66225	ABBA_M13	
184	66225	ABBA_M14	
185	66225	ACSA_M21	
186	66225	ACSA_M24	
187	66225	ACSA_M25	
188	66225	COCO_M01	0.029811160467584103
189	66225	COCO_M02	0.05742326328508183
190	66225	COCO_M03	0.06341688021401305
191	66225	COCO_M04	
192	66225	COCO_M05	0.014880602905154004
193	66225	FAGR_M16	
194	66225	FAGR_M17	
195	66225	FAGR_M19	
196	66225	FAGR_M20	
197	66225	THOC_M09	
198	66225	THOC_M10	0.0
199	66226	ABBA_M12	0.04912973511090831
200	66226	ABBA_M13	
201	66226	ABBA_M14	0.14977338457026834
202	66226	ACSA_M21	0.03324523985123538
203	66226	ACSA_M24	0.026303245170879067
204	66226	ACSA_M25	
205	66226	COCO_M01	0.023198867969163824
206	66226	COCO_M02	0.03008019743870278
207	66226	COCO_M03	0.03977617193274296
208	66226	COCO_M04	0.012195112336921204
209	66226	COCO_M05	0.04477002512782085
210	66226	FAGR_M16	0.06630392114533772
211	66226	FAGR_M17	0.016129212950176976
212	66226	FAGR_M19	
213	66226	FAGR_M20	
214	66226	THOC_M07	
215	66226	THOC_M08	
216	66226	THOC_M09	0.03863162501096973
217	66226	THOC_M10	
218	66227	ABBA_M12	
219	66227	ABBA_M14	
220	66227	ACSA_M21	
221	66227	ACSA_M24	
222	66227	ACSA_M25	0.11146813947433433
223	66227	COCO_M01	0.10079581105349679
224	66227	COCO_M02	0.20377750533636996
225	66227	COCO_M03	0.18526046885861724
226	66227	COCO_M04	
227	66227	COCO_M05	0.09148601470340563
228	66227	FAGR_M16	0.06881325480444753
229	66227	FAGR_M17	
230	66227	FAGR_M19	
231	66227	THOC_M07	0.05526314392148277
232	66227	THOC_M09	0.19749097119179312
233	66227	THOC_M10	
234	66228	ABBA_M12	
235	66228	ACSA_M21	
236	66228	ACSA_M24	
237	66228	COCO_M01	
238	66228	COCO_M02	
239	66228	COCO_M03	0.0891011747790422
240	66228	COCO_M04	
241	66228	COCO_M05	0.07576076671207901
242	66228	FAGR_M16	
243	66228	FAGR_M17	
244	66228	FAGR_M19	
245	66228	THOC_M09	
246	66228	THOC_M10	
247	66229	ABBA_M11	
248	66229	ABBA_M12	
249	66229	ABBA_M14	
250	66229	ACSA_M24	0.2811817310298918
251	66229	ACSA_M25	0.00726935872988876
252	66229	COCO_M01	0.08991709290703051
253	66229	COCO_M02	0.06150454415401114
254	66229	COCO_M03	0.05277927097667481
255	66229	COCO_M04	0.29407260167041716
256	66229	COCO_M05	0.04670109648287802
257	66229	FAGR_M16	0.3620791862236071
258	66229	FAGR_M17	0.19945384434345245
259	66229	FAGR_M19	
260	66229	THOC_M07	
261	66229	THOC_M09	0.09524216631634597
262	66229	THOC_M10	0.14036133638758652
263	66230	ABBA_M12	
264	66230	ABBA_M14	
265	66230	ACSA_M24	
266	66230	ACSA_M25	
267	66230	COCO_M01	0.07634169451712079
268	66230	COCO_M02	0.12943313566969797
