source	species	strain_original_name	group	genome_size_Mb	nb_contigs	contig_N50_kb	contig_L50	nb_scaffolds	scaffold_N50_kb	scaffold_L50	genome_coverage_x	assembly_level	completeness_pc	contamination_pc	reference_genome	NCBI_RefSeq_assembly	assembly	GenBank_assembly	contigs(JB)	size_b(JB)	N50_b(JB)	fna_file	corresponds_to_JB_fna_file	notes
ALESSA	M_adhaesivum	DSM17169T	D	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	61	4671,479	176656	Mb_adhaesivum.fas	yes	
ALESSA	M_aerolatum	DSM19013T	A	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	67	4870531	154381	Mb_aerolatum.fas	yes	
NCBI	M_ajmalii	MA-22A	C	7,558	6	5348,274	1	6	5348,274	1	47,0	complete	99,08	2,24	no	GCF_001548015.1	ASM154801v1	na	na	na	na	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/548/015/GCF_001548015.1_ASM154801v1/GCF_001548015.1_ASM154801v1_genomic.fna.gz	yes	identified as Methylobacterium aquaticum in NCBI
NCBI	M_aminovorans	DM1	B	5,905	2	5664,348	1	2	5664,348	1	141,2	complete	na	na	no	GCF_003111705.1	ASM311170v1	GCA_003111705.1	na	na	na	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/111/705/GCF_003111705.1_ASM311170v1/GCF_003111705.1_ASM311170v1_genomic.fna.gz	yes	"""unverified source organism""; identified as Methylobacterium sp. DM1 in NCBI"
ALESSA	M_aquaticum	DSM16371T	C	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	512	7395363	32100	Mb_aquaticum.fas	yes	
NCBI	M_brachiatum	TX0642	A	6,340	4	5981,925	1	4	5982,025	1	93,6	chromosome	99,49	1,27	no	GCF_003697185.1	ASM369718v1	na	na	na	na	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/697/185/GCF_003697185.1_ASM369718v1/GCF_003697185.1_ASM369718v1_genomic.fna.gz	yes	
NCBI	M_brachythecii	DSM24105	B	5,409	29	506,666	4	na	na	na	277,0	contig	93,97	1,09	yes	GCF_014196345.1	ASM1419634v1	na	na	na	na	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/196/345/GCF_014196345.1_ASM1419634v1/GCF_014196345.1_ASM1419634v1_genomic.fna.gz	yes-new_blast	
NCBI	M_bullatum	88A	D	4,889	4	4842,332	1	na	na	na	na	contig	100,00	0,25	no	GCF_000376345.1	ASM37634v1	na	na	na	na	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/376/345/GCF_000376345.1_ASM37634v1/GCF_000376345.1_ASM37634v1_genomic.fna.gz	yes	identified as Methylobacterium sp. 88A in NCBI
ALESSA	M_cerastii	DSM23679T	A	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	150	5374490	98645	Mb_cerastii.fas	yes	
NCBI	M_crusticola	MIMD6	C	7,502	553	31,683	71	463	33,995	69	121,8	scaffold	96,70	2,03	yes	GCF_003574465.1	ASM357446v1	na	na	na	na	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/574/465/GCF_003574465.1_ASM357446v1/GCF_003574465.1_ASM357446v1_genomic.fna.gz	yes	
